Cluster_name,Number_of_genes,Genes
611,2,"Galntl6, Gm2921"
612,1,Gm35254
613,1,Tll1
614,1,Gm53436
615,1,Cpe
616,1,Smim31
617,1,Marchf1
618,1,Csgalnact1
619,1,Comp
620,1,Lrrc25
621,1,Slc5a5
622,1,Tmem221
623,2,"Gm35572, LOC118567536"
624,1,Tmem38a
625,1,Rasd2
626,1,Gypa
627,1,Frem3
628,1,Nfix
629,2,"Man2b1, Zfp791"
630,1,Gpt2
631,1,Tox3
632,1,LOC118567558
633,1,Gm39223
634,1,LOC118567560
635,2,"9330175E14Rik, Nlrc5"
636,1,Adgrg3
637,1,LOC102636360
638,1,Tppp3
639,1,Lncbate1
640,1,Fa2h
641,1,Ctrb1
642,1,Wwox
643,2,"Gm16116, Gm30554"
644,1,Maf
645,1,Cibar2
646,1,Irf8
647,1,Gm26747
648,1,Zcchc14
649,2,"Gm26812, Slc7a5"
650,1,Zfp469
651,2,"Agt, Capn9"
652,1,Gm46060
653,2,"Gm9909, Gm51558"
654,1,Gm32856
655,1,Pdgfd
656,1,Cep126
657,1,Gm51666
658,1,Gm51702
659,2,"Gm51703, Gm46152"
660,1,Slc36a4
661,2,"Cnn1, Acp5"
662,1,Eepd1
663,1,Tmem45b
664,1,Kirrel3
665,2,"Gm33561, Kirrel3os"
666,5,"St3gal4, Gm51705, 4930581F22Rik, Gm57537, Gm39318"
667,1,Cdon
668,3,"Slc37a2, Ccdc15, Gm34885"
669,1,Or8b53
670,1,Gm51670
671,1,Sc5d
672,2,"Gm10687, Mcam"
673,1,Scn4b
674,1,Gm46110
675,1,Apoa4
676,1,Cadm1
677,1,Gm32742
678,1,Chrna3
679,2,"Gm32392, Lman1l"
680,2,"Mir6385, Loxl1"
681,1,Gramd2a
682,1,A730043L09Rik
683,1,Cilp
684,1,Dapk2
685,1,Fbxl22
686,1,Car12
687,1,Aph1c
688,2,"Gm30639, Tpm1"
689,2,"Rora, Gm53536"
690,1,Gcnt3
691,1,4933433G15Rik
692,1,Gclc
693,1,Gsta2
694,1,Slc17a5
695,1,Gm46124
696,1,Tent5a
697,1,Nt5e
698,1,Rasgrf1
699,1,Slc9a9
700,1,Pls1
701,1,Gk5
702,1,E030011O05Rik
703,1,Clstn2
704,1,Rbp2
705,1,Ephb1
706,1,Acp3
707,1,Col6a6
708,1,Col6a5
709,1,Bsn
710,1,Slc26a6
711,4,"Nradd, Nbeal2, Ccdc12, Gm35715"
712,1,Arpp21
713,1,Ulk4
714,1,Hhatl
715,1,Zc3h12d
716,1,Ect2l
717,2,"Hebp2, Arfgef3"
718,1,Slc35d3
719,1,Gm5420
720,1,Sgk1
721,1,H60b
722,1,Vnn1
723,1,Stx7
724,2,"Ccn2, Enpp1"
725,1,Tmem200a
726,1,2310057J18Rik
727,1,9330159F19Rik
728,1,Nkain2
729,1,Ddo
730,1,Ccdc162
731,1,Armc2
732,1,Gm34006
733,1,Gm40636
734,1,Bves
735,1,Man1a
736,1,Dnajc12
737,1,Egr2
738,1,Gm51770
739,1,Susd2
740,1,Gm867
741,1,Prmt2
742,1,Gm47922
743,3,"C2cd4c, Shc2, Cimap1d"
744,1,Pcsk4
745,1,Gng7
746,2,"Smim24, Gm51811"
747,1,Slc41a2
748,1,Aldh1l2
749,1,1500009L16Rik
750,1,Timp3
751,1,Hsp90b1
752,1,Sycp3
753,1,Gm32604
754,2,"Gm32749, Tmcc3"
755,1,Nudt4
756,1,Gm33782
757,1,LOC118567817
758,1,Gm35035
759,1,Lrriq1
760,1,Slc6a15
761,1,Gm46241
762,1,Acss3
763,1,Csrp2
764,1,Best3
765,1,Lyz2
766,1,Grip1
767,1,D930020B18Rik
768,2,"Srgap1, Gm46183"
769,1,Kif5a
770,3,"Myo1a, Rdh16, Rdh18-ps"
771,1,Ikzf4
772,1,Selenom
773,1,Dusp18
774,1,Sec14l4
775,2,"Tbc1d10a, Castor1"
776,1,Rasl10a
777,1,Gm11963
778,1,Nacad
779,1,Upp1
780,2,"Grb10, LOC102631979"
781,2,"Gm31674, Gm28401"
782,1,Gm16141
783,1,B3gnt2
784,1,Fam161a
785,1,Selenok-ps1
786,1,Stc2
787,1,Kcnip1
788,3,"Kcnmb1, Gm51857, Lcp2"
789,1,Tenm2
790,1,Gm53698
791,1,Timd4
792,1,Ltc4s
793,1,Zfp454
794,1,Col23a1
795,1,Sowaha
796,1,Slc22a4
797,1,Fat2
798,1,Gm51897
799,1,2310058D17Rik
800,2,"Myo15a, Gm53694"
801,2,"Tnfrsf13b, Aldh3a1"
802,2,"Gm42081, Mfap4"
803,2,"Zfp286, Trim16"
804,1,Pirt
805,1,Aloxe3
806,1,Kcnab3
807,1,Slc2a4
808,4,"Gm32946, Asgr2, Mgl2, Clec10a"
809,1,Cxcl16
810,2,"Gm34704, Camkk1"
811,1,Ccdc92b
812,1,Gm51907
813,1,Mir22hg
814,3,"Gm57767, Doc2b, Rph3al"
815,1,Tlcd3a
816,1,Tmigd1
817,1,Gm10277
818,1,Gm11190
819,1,Slc13a2
820,1,Wsb1
821,3,"Ccl2, Ccl7, Ccl8"
822,1,Gm20234
823,1,Wfdc17
824,1,Myo19
825,1,Appbp2os
826,1,Bcas3os1
827,1,Gdpd1
828,1,1110028F11Rik
829,1,Scpep1
830,1,Abcc3
831,1,Gm11545
832,1,Ngfr
833,5,"Gm29873, Gm38957, Gm29933, Phospho1, B4galnt2"
834,1,Skap1
835,1,Srcin1
836,1,Ppp1r1b
837,1,Krt20
838,3,"Krt36, Krt15, Krt19"
839,1,Krt17
840,1,Odad4
841,1,Gm46295
842,1,Arl4d
843,1,Meox1
844,2,"Asb16, Slc4a1"
845,1,Gm11627
846,1,Mapt
847,1,Itgb3
848,1,Tex2
849,1,Rgs9
850,1,Slc16a6
851,1,Fam20a
852,2,"Kcnj16, Kcnj2"
853,1,2610035D17Rik
854,1,Sdk2
855,1,Cd300ld
856,1,Fads6
857,1,Sphk1
858,4,"Snord1c, St6galnac2, Gm11735, St6galnac1"
859,2,"C1qtnf1, Engase"
860,1,Tbc1d16
861,1,Card14
862,1,Gm11769
863,1,Fscn2
864,2,"Pycr1, Notum"
865,1,Slc16a3
866,1,Sectm1a
867,1,Kif3c
868,1,5033421B08Rik
869,1,Kcns3
870,1,Vsnl1
871,1,Gm53739
872,1,Greb1
873,1,Slc66a3
874,2,"Kcnf1, Pdia6"
875,1,Gm51522
876,1,Gm36723
877,1,Alkal2
878,1,Slc26a3
879,1,Agr2
880,1,Meox2
881,1,Scin
882,1,Gm40406
883,1,Stxbp6
884,1,Gm35239
885,2,"Gm20016, Ttc6"
886,1,Gm31679
887,1,Rtn1
888,1,Lrrc9
889,1,Syt16
890,1,Esr2
891,1,AI463170
892,1,Plekhd1
893,1,Smoc1
894,1,Sipa1l1
895,1,Zc2hc1c
896,2,"Batf, Flvcr2"
897,2,"Tgfb3, Gm37804"
898,3,"Gm53736, Ism2, Gm51956"
899,1,Eif1ad2
900,1,Gm40892
901,1,Galc
902,1,Gm10432
903,1,Rps6ka5
904,1,Tc2n
905,1,Asb2
906,1,Ifi27l2b
907,1,Tunar
908,1,Begain
909,1,Gm35558
910,1,Amn
911,1,Gm40578
912,2,"Ckb, Gm51961"
913,2,"5033406O09Rik, Gm36757"
914,1,Kif26a
915,2,"Gm30298, Pld4"
916,2,"Gm30599, Crip1"
917,2,"Ighg1, Ighg3"
918,1,Ighv4-1
919,1,Ptprn2
920,2,"Gm31482, Rapgef5"
921,1,Dnah11
922,1,Calml3
923,1,Edaradd
924,1,Epdr1
925,1,Aoah
926,2,"Gm11274, Gm53778"
927,2,"Prss16, H4c9"
928,2,"Btn1a1, H2bc9"
929,1,Ripor2
930,1,9330162012Rik
931,1,Dcdc2a
932,1,Gm34639
933,1,G630018N14Rik
934,1,Gm35672
935,1,Gm40876
936,1,Serpinb1a
937,2,"Serpinb6b, Gm36181"
938,2,"Serpinb6a, 1110046J04Rik"
939,3,"Tubb2a, Tubb2b, Slc22a23"
940,1,F13a1
941,3,"Gm29590, Gm47754, AI463229"
942,1,A730081D07Rik
943,1,Gm5082
944,1,Gm52047
945,1,Cap2
946,1,A330048O09Rik
947,1,Wnk2
948,2,"Aspn, Omd"
949,1,Nxnl2
950,1,Simc1
951,1,Cdhr2
952,1,Hk3
953,1,Dbn1
954,1,Slc25a48
