Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P23198,P23198,0.874453298,0.874453298,0.009140648,2.04,0.022005265,20,P23198,Cbx3,Chromobox protein homolog 3,CBX3_MOUSE,1,83.33132302,1.83331323,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHJ0,Q9JHJ0,0.881676054,0.881676054,0.00592178,2.23,0.017697275,20,Q9JHJ0,Tmod3,Tropomodulin-3,TMOD3_MOUSE,2,84.25146039,1.842514604,Female,Male,NaN,NaN,NaN
Female / Male,Q61400,Q61400,0.890163244,0.890163244,0.033670683,1.47,0.04284361,20,Q61400,Ceacam10,Carcinoembryonic antigen-related cell adhesion molecule 10,CEAMA_MOUSE,1,85.3385826,1.853385826,Female,Male,NaN,NaN,NaN
Female / Male,Q9R0M0,Q9R0M0,0.89292014,0.89292014,0.009583802,2.02,0.022652624,20,Q9R0M0,Celsr2,Cadherin EGF LAG seven-pass G-type receptor 2,CELR2_MOUSE,7,85.69309123,1.856930912,Female,Male,NaN,NaN,NaN
Female / Male,O35310,O35310,0.893267062,0.893267062,0.015694989,1.8,0.029357534,20,O35310,Hs3st1,Heparan sulfate glucosamine 3-O-sulfotransferase 1,HS3S1_MOUSE,6,85.73774974,1.857377497,Female,Male,NaN,NaN,NaN
Female / Male,P19467,P19467,0.896662675,0.896662675,0.01559114,1.81,0.029267793,20,P19467,Muc13,Mucin-13,MUC13_MOUSE,3,86.17542807,1.861754281,Female,Male,NaN,NaN,NaN
Female / Male,Q99JW5,Q99JW5,0.899782299,0.899782299,0.017809626,1.75,0.031934503,20,Q99JW5,Epcam,Epithelial cell adhesion molecule,EPCAM_MOUSE,1,86.57844165,1.865784417,Female,Male,NaN,NaN,NaN
Female / Male,Q61362,Q61362,0.903897117,0.903897117,0.003405184,2.47,0.012528507,20,Q61362,Chi3l1,Chitinase-3-like protein 1,CH3L1_MOUSE,10,87.11135559,1.871113556,Female,Male,NaN,NaN,NaN
Female / Male,Q03404,Q03404,0.927089088,0.927089088,0.000668312,3.18,0.004137168,20,Q03404,Tff2,Trefoil factor 2,TFF2_MOUSE,2,90.14356148,1.901435615,Female,Male,NaN,NaN,NaN
Female / Male,P20060,P20060,0.943485122,0.943485122,6.71E-05,4.17,0.000918702,20,P20060,Hexb,Beta-hexosaminidase subunit beta,HEXB_MOUSE,22,92.31684346,1.923168435,Female,Male,NaN,NaN,NaN
Female / Male,O70138,O70138,0.945977051,0.945977051,0.003100102,2.51,0.011825964,20,O70138,Mmp8,Neutrophil collagenase,MMP8_MOUSE,6,92.64931423,1.926493142,Female,Male,NaN,NaN,NaN
Female / Male,Q91VS7,Q91VS7,0.965986372,0.965986372,0.008941844,2.05,0.022005265,20,Q91VS7,Mgst1,Microsomal glutathione S-transferase 1,MGST1_MOUSE,1,95.33986058,1.953398606,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z0K8,Q9Z0K8,0.968876245,0.968876245,0.007156268,2.15,0.01965454,20,Q9Z0K8,Vnn1,Pantetheinase,VNN1_MOUSE,5,95.73153938,1.957315394,Female,Male,NaN,NaN,NaN
Female / Male,Q8K5B2,Q8K5B2,0.969869633,0.969869633,0.001119155,2.95,0.005979049,20,Q8K5B2,Mcfd2,Multiple coagulation factor deficiency protein 2 homolog,MCFD2_MOUSE,2,95.86635952,1.958663595,Female,Male,NaN,NaN,NaN
Female / Male,Q7M742,Q7M742,0.972487448,0.972487448,0.034719516,1.46,0.043399395,20,Q7M742,Scgb1c1,Secretoglobin family 1C member 1,SG1C1_MOUSE,2,96.22208776,1.962220878,Female,Male,NaN,NaN,NaN
Female / Male,Q8C102,Q8C102,0.97608858,0.97608858,0.015374584,1.81,0.029036745,20,Q8C102,Galnt5,Polypeptide N-acetylgalactosaminyltransferase 5,GALT5_MOUSE,2,96.71249242,1.967124924,Female,Male,NaN,NaN,NaN
Female / Male,P35282,P35282,0.998659096,0.998659096,0.019281533,1.71,0.032811935,20,P35282,Rab21,Ras-related protein Rab-21,RAB21_MOUSE,1,99.81419758,1.998141976,Female,Male,NaN,NaN,NaN
Female / Male,P15379,P15379,0.999570632,0.999570632,0.00098665,3.01,0.005497051,20,P15379,Cd44,CD44 antigen,CD44_MOUSE,2,99.94048582,1.999404858,Female,Male,NaN,NaN,NaN
Female / Male,Q9EQG7,Q9EQG7,1.000996879,1.000996879,0.034357877,1.46,0.043085441,20,Q9EQG7,Enpp5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5_MOUSE,1,100.1382445,2.001382445,Female,Male,NaN,NaN,NaN
Female / Male,Q9JLA2,Q9JLA2,1.016728541,1.016728541,0.001087094,2.96,0.005888424,20,Q9JLA2,Il36a,Interleukin-36 alpha,IL36A_MOUSE,1,102.3325655,2.023325655,Female,Male,NaN,NaN,NaN
Female / Male,Q61792,Q61792,1.025994444,1.025994444,0.00036379,3.44,0.002837561,20,Q61792,Lasp1,LIM and SH3 domain protein 1,LASP1_MOUSE,3,103.6362557,2.036362557,Female,Male,NaN,NaN,NaN
Female / Male,Q9DBX3,Q9DBX3,1.051671173,1.051671173,0.000468196,3.33,0.003319933,20,Q9DBX3,Susd2,Sushi domain-containing protein 2,SUSD2_MOUSE,2,107.2929674,2.072929674,Female,Male,NaN,NaN,NaN
Female / Male,Q9EQ06,Q9EQ06,1.06031954,1.06031954,0.043067896,1.37,0.048058596,20,Q9EQ06,Hsd17b11,Estradiol 17-beta-dehydrogenase 11,DHB11_MOUSE,2,108.5393361,2.085393361,Female,Male,NaN,NaN,NaN
Female / Male,Q8BU51,Q8BU51,1.064930006,1.064930006,0.04426371,1.35,0.048666126,20,Q8BU51,Bpifb6,BPI fold-containing family B member 6,BPIB6_MOUSE,6,109.2068378,2.092068378,Female,Male,NaN,NaN,NaN
Female / Male,Q80VA0,Q80VA0,1.070960499,1.070960499,9.04E-05,4.04,0.001066993,20,Q80VA0,Galnt7,N-acetylgalactosaminyltransferase 7,GALT7_MOUSE,9,110.0831567,2.100831567,Female,Male,NaN,NaN,NaN
Female / Male,Q8VC28,Q8VC28,1.089735885,1.089735885,0.004760476,2.32,0.015601562,20,Q8VC28,Akr1c13,Aldo-keto reductase family 1 member C13,AK1CD_MOUSE,2,112.835069,2.12835069,Female,Male,NaN,NaN,NaN
Female / Male,Q61096,Q61096,1.098666973,1.098666973,0.000952698,3.02,0.005482062,20,Q61096,Prtn3,Myeloblastin,PRTN3_MOUSE,5,114.1567237,2.141567237,Female,Male,NaN,NaN,NaN
Female / Male,P70158,P70158,1.099364244,1.099364244,1.35E-05,4.87,0.000301279,20,P70158,Smpdl3a,Cyclic GMP-AMP phosphodiesterase SMPDL3A,ASM3A_MOUSE,12,114.2602532,2.142602532,Female,Male,NaN,NaN,NaN
Female / Male,P14733,P14733,1.117896835,1.117896835,0.000519106,3.28,0.003590968,20,P14733,Lmnb1,Lamin-B1,LMNB1_MOUSE,6,117.0303543,2.170303543,Female,Male,NaN,NaN,NaN
Female / Male,Q3TRM8,Q3TRM8,1.119515723,1.119515723,0.012350027,1.91,0.02577421,20,Q3TRM8,Hk3,Hexokinase-3,HXK3_MOUSE,7,117.2740268,2.172740268,Female,Male,NaN,NaN,NaN
Female / Male,Q8CF02,Q8CF02,1.129422002,1.129422002,0.011996807,1.92,0.025222397,20,Q8CF02,Fam25a,Protein FAM25A,FM25C_MOUSE,2,118.7710747,2.187710747,Female,Male,NaN,NaN,NaN
Female / Male,P11247,P11247,1.151739225,1.151739225,4.69E-05,4.33,0.0007464,20,P11247,Mpo,Myeloperoxidase,PERM_MOUSE,27,122.1815816,2.221815816,Female,Male,NaN,NaN,NaN
Female / Male,Q62422,Q62422,1.155775663,1.155775663,0.000948225,3.02,0.005482062,20,Q62422,Ostf1,Osteoclast-stimulating factor 1,OSTF1_MOUSE,4,122.8040817,2.228040817,Female,Male,NaN,NaN,NaN
Female / Male,P62320,P62320,1.157891864,1.157891864,0.00406781,2.39,0.013977498,20,P62320,Snrpd3,Small nuclear ribonucleoprotein Sm D3,SMD3_MOUSE,2,123.1311392,2.231311392,Female,Male,NaN,NaN,NaN
Female / Male,Q8K4G1,Q8K4G1,1.17267436,1.17267436,0.010639876,1.97,0.023932537,20,Q8K4G1,Ltbp4,Latent-transforming growth factor beta-binding protein 4,LTBP4_MOUSE,2,125.4291936,2.254291936,Female,Male,NaN,NaN,NaN
Female / Male,P49710,P49710,1.209077387,1.209077387,0.013486659,1.87,0.026767415,20,P49710,Hcls1,Hematopoietic lineage cell-specific protein,HCLS1_MOUSE,4,131.1897421,2.311897421,Female,Male,NaN,NaN,NaN
Female / Male,Q8BKG3,Q8BKG3,1.216743723,1.216743723,4.75E-06,5.32,0.000152132,20,Q8BKG3,Ptk7,Inactive tyrosine-protein kinase 7,PTK7_MOUSE,6,132.4215309,2.324215309,Female,Male,NaN,NaN,NaN
Female / Male,Q99MK8,Q99MK8,1.225565244,1.225565244,0.000547616,3.26,0.003746845,20,Q99MK8,Grk2,Beta-adrenergic receptor kinase 1,ARBK1_MOUSE,2,133.8470523,2.338470523,Female,Male,NaN,NaN,NaN
Female / Male,Q99PJ1,Q99PJ1,1.226524831,1.226524831,0.002259052,2.65,0.009843913,20,Q99PJ1,Pcdh15,Protocadherin-15,PCD15_MOUSE,1,134.0026439,2.340026439,Female,Male,NaN,NaN,NaN
Female / Male,Q3UP87,Q3UP87,1.226564799,1.226564799,1.42E-10,9.85,5.54E-08,20,Q3UP87,Elane,Neutrophil elastase,ELNE_MOUSE,6,134.0091268,2.340091268,Female,Male,NaN,NaN,NaN
Female / Male,Q08890,Q08890,1.237815444,1.237815444,0.000430783,3.37,0.00316991,20,Q08890,Ids,Iduronate 2-sulfatase,IDS_MOUSE,4,135.8411467,2.358411467,Female,Male,NaN,NaN,NaN
Female / Male,Q99NB5,Q99NB5,1.240851497,1.240851497,0.00313337,2.5,0.011825964,20,Q99NB5,Gsdmc,Gasdermin-C,GSDMC_MOUSE,2,136.3379808,2.363379808,Female,Male,NaN,NaN,NaN
Female / Male,P52793,P52793,1.25125039,1.25125039,0.00044944,3.35,0.003245957,20,P52793,Efna1,Ephrin-A1,EFNA1_MOUSE,1,138.0476506,2.380476506,Female,Male,NaN,NaN,NaN
Female / Male,P11859,P11859,1.297892678,1.297892678,3.95E-06,5.4,0.000142662,20,P11859,Agt,Angiotensinogen,ANGT_MOUSE,21,145.8694825,2.458694825,Female,Male,NaN,NaN,NaN
Female / Male,Q9WUB3,Q9WUB3,1.303888696,1.303888696,0.028328401,1.55,0.040248002,20,Q9WUB3,Pygm,"Glycogen phosphorylase, muscle form",PYGM_MOUSE,27,146.8934728,2.468934728,Female,Male,NaN,NaN,NaN
Female / Male,P06800,P06800,1.314537076,1.314537076,2.33E-08,7.63,2.28E-06,20,P06800,Ptprc,Receptor-type tyrosine-protein phosphatase C,PTPRC_MOUSE,4,148.7225092,2.487225092,Female,Male,NaN,NaN,NaN
Female / Male,Q8BND5,Q8BND5,1.317370911,1.317370911,1.55E-07,6.81,8.63E-06,20,Q8BND5,Qsox1,Sulfhydryl oxidase 1,QSOX1_MOUSE,36,149.2115461,2.492115461,Female,Male,NaN,NaN,NaN
Female / Male,P54751,P54751,1.318196293,1.318196293,7.17E-08,7.14,4.66E-06,20,P54751,St3gal1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",SIA4A_MOUSE,9,149.3541636,2.493541636,Female,Male,NaN,NaN,NaN
Female / Male,B1AQ75,B1AQ75,1.319272034,1.319272034,0.017019717,1.77,0.031089882,20,B1AQ75,Krt36,"Keratin, type I cuticular Ha6",KRT36_MOUSE,13,149.5401631,2.495401631,Female,Male,NaN,NaN,NaN
Female / Male,Q99M73,Q99M73,1.322172514,1.322172514,0.000445682,3.35,0.003245957,20,Q99M73,Krt84,"Keratin, type II cuticular Hb4",KRT84_MOUSE,19,150.0423582,2.500423582,Female,Male,NaN,NaN,NaN
Female / Male,Q09014,Q09014,1.336841728,1.336841728,0.000174966,3.76,0.001844238,20,Q09014,Ncf1,Neutrophil cytosol factor 1,NCF1_MOUSE,7,152.5977393,2.525977393,Female,Male,NaN,NaN,NaN
Female / Male,P28293,P28293,1.342348296,1.342348296,0.001813825,2.74,0.008613832,20,P28293,Ctsg,Cathepsin G,CATG_MOUSE,4,153.5637125,2.535637125,Female,Male,NaN,NaN,NaN
Female / Male,Q8CIV3,Q8CIV3,1.350002818,1.350002818,1.00E-05,5,0.000243757,20,Q8CIV3,Liph,Lipase member H,LIPH_MOUSE,5,154.9126233,2.549126233,Female,Male,NaN,NaN,NaN
Female / Male,Q64322,Q64322,1.359846277,1.359846277,0.043955817,1.36,0.048666126,20,Q64322,Npdc1,Neural proliferation differentiation and control protein 1,NPDC1_MOUSE,4,156.6578304,2.566578304,Female,Male,NaN,NaN,NaN
Female / Male,Q640M1,Q640M1,1.371519843,1.371519843,9.23E-05,4.04,0.001066993,20,Q640M1,Utp14a,U3 small nucleolar RNA-associated protein 14 homolog A,UT14A_MOUSE,1,158.7430019,2.587430019,Female,Male,NaN,NaN,NaN
Female / Male,P39654,P39654,1.379495742,1.379495742,0.021513788,1.67,0.034528301,20,P39654,Alox15,Polyunsaturated fatty acid lipoxygenase ALOX15,LOX15_MOUSE,1,160.1774167,2.601774167,Female,Male,NaN,NaN,NaN
Female / Male,P19783,P19783,1.391825048,1.391825048,0.005658152,2.25,0.017307289,20,P19783,Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX41_MOUSE,2,162.4104272,2.624104272,Female,Male,NaN,NaN,NaN
Female / Male,O35400,O35400,1.395485259,1.395485259,0.007396163,2.13,0.019824767,20,O35400,Sult2b1,Sulfotransferase 2B1,ST2B1_MOUSE,1,163.0770247,2.630770247,Female,Male,NaN,NaN,NaN
Female / Male,Q8CIH5,Q8CIH5,1.404871011,1.404871011,0.000339244,3.47,0.002754658,20,Q8CIH5,Plcg2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2_MOUSE,3,164.7941061,2.647941061,Female,Male,NaN,NaN,NaN
Female / Male,Q60928,Q60928,1.410428057,1.410428057,0.043051986,1.37,0.048058596,20,Q60928,Ggt1,Glutathione hydrolase 1 proenzyme,GGT1_MOUSE,1,165.8160205,2.658160205,Female,Male,NaN,NaN,NaN
Female / Male,P35822,P35822,1.41297029,1.41297029,0.003194431,2.5,0.011979115,20,P35822,Ptprk,Receptor-type tyrosine-protein phosphatase kappa,PTPRK_MOUSE,2,166.2848389,2.662848389,Female,Male,NaN,NaN,NaN
Female / Male,Q8R366,Q8R366,1.434750145,1.434750145,0.015313345,1.81,0.028991284,20,Q8R366,Igsf8,Immunoglobulin superfamily member 8,IGSF8_MOUSE,1,170.3353442,2.703353442,Female,Male,NaN,NaN,NaN
Female / Male,Q9D1E4,Q9D1E4,1.462563477,1.462563477,1.66E-06,5.78,6.83E-05,20,Q9D1E4,Cysrt1,Cysteine-rich tail protein 1,CRTP1_MOUSE,1,175.5976291,2.755976291,Female,Male,NaN,NaN,NaN
Female / Male,G3XA57;Q9D620,G3XA57;Q9D620,1.471699581,1.471699581,1.67E-05,4.78,0.000342177,20,G3XA57;Q9D620,Rab11fip2;Rab11fip1,Rab11 family-interacting protein 2;Rab11 family-interacting protein 1,RFIP2_MOUSE;RFIP1_MOUSE,1,177.3484342,2.773484342,Female,Male,NaN,NaN,NaN
Female / Male,Q6Q899,Q6Q899,1.49050062,1.49050062,0.002697895,2.57,0.011012299,20,Q6Q899,Rigi,Antiviral innate immune response receptor RIG-I,RIGI_MOUSE,1,180.9864614,2.809864614,Female,Male,NaN,NaN,NaN
Female / Male,Q7TN29,Q7TN29,1.492187185,1.492187185,4.36E-05,4.36,0.000745222,20,Q7TN29,Smap2,Stromal membrane-associated protein 2,SMAP2_MOUSE,1,181.3151374,2.813151374,Female,Male,NaN,NaN,NaN
Female / Male,Q91Y74,Q91Y74,1.505149243,1.505149243,7.78E-10,9.11,1.52E-07,20,Q91Y74,St3gal4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",SIA4C_MOUSE,8,183.8540337,2.838540337,Female,Male,NaN,NaN,NaN
Female / Male,Q99JW4,Q99JW4,1.508173348,1.508173348,0.030497689,1.52,0.041264459,20,Q99JW4,Lims1,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1_MOUSE,1,184.4496582,2.844496582,Female,Male,NaN,NaN,NaN
Female / Male,P15947,P15947,1.523563993,1.523563993,0.000374924,3.43,0.002867069,20,P15947,Klk1,Kallikrein-1,KLK1_MOUSE,20,187.5004059,2.875004059,Female,Male,NaN,NaN,NaN
Female / Male,Q8K485,Q8K485,1.567511022,1.567511022,0.006176729,2.21,0.018225211,20,Q8K485,Kctd11,BTB/POZ domain-containing protein KCTD11,KCD11_MOUSE,1,196.3929274,2.963929274,Female,Male,NaN,NaN,NaN
Female / Male,P29351,P29351,1.575521337,1.575521337,0.003288997,2.48,0.012216276,20,P29351,Ptpn6,Tyrosine-protein phosphatase non-receptor type 6,PTN6_MOUSE,6,198.0431751,2.980431751,Female,Male,NaN,NaN,NaN
Female / Male,O35902,O35902,1.629096249,1.629096249,0.001716267,2.77,0.008419425,20,O35902,Dsg3,Desmoglein-3,DSG3_MOUSE,4,209.3191705,3.093191705,Female,Male,NaN,NaN,NaN
Female / Male,O70576,O70576,1.63959777,1.63959777,0.037349901,1.43,0.045237457,20,O70576,Stag3,Cohesin subunit SA-3,STAG3_MOUSE,1,211.5789501,3.115789501,Female,Male,NaN,NaN,NaN
Female / Male,Q61835,Q61835,1.664511829,1.664511829,0.011274159,1.95,0.024427344,20,Q61835,Fxyd3,FXYD domain-containing ion transport regulator 3,FXYD3_MOUSE,1,217.0063697,3.170063697,Female,Male,NaN,NaN,NaN
Female / Male,P62309,P62309,1.714312059,1.714312059,0.004889629,2.31,0.015825354,20,P62309,Snrpg,Small nuclear ribonucleoprotein G,RUXG_MOUSE,1,228.1401345,3.281401345,Female,Male,NaN,NaN,NaN
Female / Male,Q9QY73,Q9QY73,1.751464514,1.751464514,0.001816095,2.74,0.008613832,20,Q9QY73,Tmem59,Transmembrane protein 59,TMM59_MOUSE,2,236.7001849,3.367001849,Female,Male,NaN,NaN,NaN
Female / Male,Q91Z98,Q91Z98,1.86550984,1.86550984,0.00045534,3.34,0.003258394,20,Q91Z98,Chil4,Chitinase-like protein 4,CHIL4_MOUSE,15,264.3966864,3.643966864,Female,Male,NaN,NaN,NaN
Female / Male,P17897,P17897,1.873317784,1.873317784,0.013838762,1.86,0.027258167,20,P17897,Lyz1,Lysozyme C-1,LYZ1_MOUSE,2,266.3741672,3.663741672,Female,Male,NaN,NaN,NaN
Female / Male,Q8BFR2,Q8BFR2,1.877735917,1.877735917,0.028387066,1.55,0.040258021,20,Q8BFR2,Fstl5,Follistatin-related protein 5,FSTL5_MOUSE,1,267.4978773,3.674978773,Female,Male,NaN,NaN,NaN
Female / Male,P58021,P58021,1.914780868,1.914780868,9.30E-05,4.03,0.001066993,20,P58021,Tm9sf2,Transmembrane 9 superfamily member 2,TM9S2_MOUSE,1,277.0565388,3.770565388,Female,Male,NaN,NaN,NaN
Female / Male,Q9JLY7,Q9JLY7,2.000385776,2.000385776,0.040517372,1.39,0.046681758,20,Q9JLY7,Dusp14,Dual specificity protein phosphatase 14,DUS14_MOUSE,5,300.1069742,4.001069742,Female,Male,NaN,NaN,NaN
Female / Male,Q61245,Q61245,2.051111464,2.051111464,4.88E-06,5.31,0.000152132,20,Q61245,Col11a1,Collagen alpha-1(XI) chain,COBA1_MOUSE,6,314.425123,4.14425123,Female,Male,NaN,NaN,NaN
Female / Male,Q3V080,Q3V080,2.275867612,2.275867612,4.49E-05,4.35,0.000745222,20,Q3V080,Znf583,Zinc finger protein 583,ZN583_MOUSE,1,384.288791,4.84288791,Female,Male,NaN,NaN,NaN
Female / Male,Q61090;Q9JIP6,Q61090;Q9JIP6,2.290422019,2.290422019,2.39E-05,4.62,0.000466356,20,Q61090;Q9JIP6,Fzd7;Fzd2,Frizzled-7;Frizzled-2,FZD7_MOUSE;FZD2_MOUSE,1,389.1991915,4.891991915,Female,Male,NaN,NaN,NaN
Female / Male,B2RX12,B2RX12,2.395095967,2.395095967,9.72E-05,4.01,0.001099044,20,B2RX12,Abcc3,ATP-binding cassette sub-family C member 3,MRP3_MOUSE,1,426.0120929,5.260120929,Female,Male,NaN,NaN,NaN
Female / Male,P28658,P28658,3.173438019,3.173438019,5.64E-05,4.25,0.0008131,20,P28658,Atxn10,Ataxin-10,ATX10_MOUSE,1,802.1942049,9.021942049,Female,Male,NaN,NaN,NaN
Female / Male,Q62381,Q62381,3.288661021,3.288661021,2.57E-05,4.59,0.00048831,20,Q62381,Tll1,Tolloid-like protein 1,TLL1_MOUSE,6,877.2048482,9.772048482,Female,Male,NaN,NaN,NaN
Female / Male,Q9EPQ1,Q9EPQ1,3.504149522,3.504149522,0.000256566,3.59,0.002291892,20,Q9EPQ1,Tlr1,Toll-like receptor 1,TLR1_MOUSE,1,1034.629616,11.34629616,Female,Male,NaN,NaN,NaN
Female / Male,Q925H7,Q925H7,3.692026804,3.692026804,0.044294995,1.35,0.048666126,20,Q925H7,Krtap19-4,Keratin-associated protein 19-4,KR194_MOUSE,1,1192.441256,12.92441256,Female,Male,NaN,NaN,NaN
Female / Male,Q80ZU7,Q80ZU7,3.741917124,3.741917124,0.01901693,1.72,0.032744382,20,Q80ZU7,Bpifb3,BPI fold-containing family B member 3,BPIB3_MOUSE,15,1237.917381,13.37917381,Female,Male,NaN,NaN,NaN
Female / Male,Q6JHY2,Q6JHY2,5.172285573,5.172285573,2.53E-11,10.6,1.97E-08,20,Q6JHY2,Muc19,Submandibular gland protein C,SMGC_MOUSE,54,3505.895226,36.05895226,Female,Male,NaN,NaN,NaN
Female / Male,Q19LI2,Q19LI2,5.22593228,5.22593228,1.42E-07,6.85,8.55E-06,20,Q19LI2,A1bg,Alpha-1B-glycoprotein,A1BG_MOUSE,8,3642.504847,37.42504847,Female,Male,NaN,NaN,NaN
Female / Male,Q9JKV9,Q9JKV9,5.234446748,5.234446748,5.53E-06,5.26,0.000161797,20,Q9JKV9,Il20,Interleukin-20,IL20_MOUSE,1,3664.657593,37.64657593,Female,Male,NaN,NaN,NaN
