Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,Q5NC32,Q5NC32,-1.060491277,1.060491277,0.002802451,2.55,0.011209804,20,Q5NC32,Slc16a11,Monocarboxylate transporter 11,MOT11_MOUSE,1,-52.05312403,0.47946876,Female,Male,NaN,NaN,NaN
Female / Male,Q61496,Q61496,-1.055103331,1.055103331,7.43E-07,6.13,3.62E-05,20,Q61496,Ddx4,ATP-dependent RNA helicase DDX4,DDX4_MOUSE,2,-51.87372494,0.481262751,Female,Male,NaN,NaN,NaN
Female / Male,P14152,P14152,-1.054941235,1.054941235,0.014864253,1.83,0.028416954,20,P14152,Mdh1,"Malate dehydrogenase, cytoplasmic",MDHC_MOUSE,9,-51.86831736,0.481316826,Female,Male,NaN,NaN,NaN
Female / Male,Q62186,Q62186,-1.054538923,1.054538923,0.000900387,3.05,0.005396864,20,Q62186,Ssr4,Translocon-associated protein subunit delta,SSRD_MOUSE,1,-51.85489341,0.481451066,Female,Male,NaN,NaN,NaN
Female / Male,Q8VEN2,Q8VEN2,-1.049959065,1.049959065,0.001180705,2.93,0.006222634,20,Q8VEN2,Plet1,Placenta-expressed transcript 1 protein,PLET1_MOUSE,2,-51.70181316,0.482981868,Female,Male,NaN,NaN,NaN
Female / Male,A2A5R2,A2A5R2,-1.049736815,1.049736815,0.002494843,2.6,0.01046238,20,A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,BIG2_MOUSE,2,-51.69437216,0.483056278,Female,Male,NaN,NaN,NaN
Female / Male,Q91YR1,Q91YR1,-1.038993134,1.038993134,0.000290852,3.54,0.002465923,20,Q91YR1,Twf1,Twinfilin-1,TWF1_MOUSE,2,-51.33329968,0.486667003,Female,Male,NaN,NaN,NaN
Female / Male,Q8BYH7,Q8BYH7,-1.037142837,1.037142837,0.010364669,1.98,0.02384791,20,Q8BYH7,Tbc1d17,TBC1 domain family member 17,TBC17_MOUSE,2,-51.27084324,0.487291568,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z1Z2,Q9Z1Z2,-1.036120935,1.036120935,0.008341005,2.08,0.021123323,20,Q9Z1Z2,Strap,Serine-threonine kinase receptor-associated protein,STRAP_MOUSE,1,-51.23631474,0.487636853,Female,Male,NaN,NaN,NaN
Female / Male,Q9CXW3,Q9CXW3,-1.035672361,1.035672361,0.031062069,1.51,0.041416929,20,Q9CXW3,Cacybp,Calcyclin-binding protein,CYBP_MOUSE,3,-51.22115039,0.487788496,Female,Male,NaN,NaN,NaN
Female / Male,P26883,P26883,-1.035668852,1.035668852,0.010933694,1.96,0.024297097,20,P26883,Fkbp1a,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKB1A_MOUSE,2,-51.22103175,0.487789683,Female,Male,NaN,NaN,NaN
Female / Male,Q9D1Q6,Q9D1Q6,-1.025976477,1.025976477,9.05E-05,4.04,0.001066993,20,Q9D1Q6,Erp44,Endoplasmic reticulum resident protein 44,ERP44_MOUSE,14,-50.89221956,0.491077804,Female,Male,NaN,NaN,NaN
Female / Male,Q8QZY6,Q8QZY6,-1.020710674,1.020710674,0.008090939,2.09,0.020759647,20,Q8QZY6,Tspan14,Tetraspanin-14,TSN14_MOUSE,1,-50.71264979,0.492873502,Female,Male,NaN,NaN,NaN
Female / Male,Q8C6C9,Q8C6C9,-1.019204473,1.019204473,2.80E-05,4.55,0.000519144,20,Q8C6C9,Leg1,Protein LEG1 homolog,LEG1H_MOUSE,18,-50.66116597,0.49338834,Female,Male,NaN,NaN,NaN
