ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
O35350,Capn1,Calpain-1 catalytic subunit,Mus musculus,13831.4402,15064.18,14447.810099999999
O35381,Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Mus musculus,2462.5,2159.95,2289.614285714286
O35400,Sult2b1,Sulfotransferase 2B1,Mus musculus,149.5,570.6666666666666,465.375
O35405,Pld3,5'-3' exonuclease PLD3,Mus musculus,10432.96,14759.7398,12596.3499
O35448,Ppt2,Lysosomal thioesterase PPT2,Mus musculus,19547.5202,19319.4198,19433.47
O35451,Atf6b,Cyclic AMP-dependent transcription factor ATF-6 beta,Mus musculus,848.02,1586.78,1217.4
O35593,Psmd14,26S proteasome non-ATPase regulatory subunit 14,Mus musculus,2753.175,1719.1,2546.3599999999997
O35598,Adam10,Disintegrin and metalloproteinase domain-containing protein 10,Mus musculus,3441.34,2390.84,2916.09
O35639,Anxa3,Annexin A3,Mus musculus,19396.56,15859.9196,17628.2398
O35640,Anxa8,Annexin A8,Mus musculus,2911.2,2389.5,2679.3333333333335
O35643,Ap1b1,AP-1 complex subunit beta-1,Mus musculus,1223.65,640.075,931.8625000000001
O35657,Neu1,Sialidase-1,Mus musculus,12664.02,8331.56,10497.79
O35664,Ifnar2,Interferon alpha/beta receptor 2,Mus musculus,20170.9196,23174.3598,21672.6397
O35678,Mgll,Monoglyceride lipase,Mus musculus,2831.8999999999996,305.4,1989.7333333333331
O35737,Hnrnph1,Heterogeneous nuclear ribonucleoprotein H,Mus musculus,1250.6,888.4,1069.5
O35744,Chil3,Chitinase-like protein 3,Mus musculus,690920.5064,1487937.225,1089428.8657
O35864,Cops5,COP9 signalosome complex subunit 5,Mus musculus,646.5999999999999,340,515.1999999999999
O35887,Calu,Calumenin,Mus musculus,32171.9,23955.3998,28063.6499
O35902,Dsg3,Desmoglein-3,Mus musculus,1050.86,3274.18,2162.52
O35930,Gp1ba,Platelet glycoprotein Ib alpha chain,Mus musculus,3634.1,NA,3634.1
O35988,Sdc4,Syndecan-4,Mus musculus,104585.1794,129996.18119999999,117290.68029999999
O54734,Ddost,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Mus musculus,4026.633333333333,3668.366666666667,3847.5
O54743,Foxf2,Forkhead box protein F2,Mus musculus,146168.6,107331.018,126749.809
O54782,Man2b2,Epididymis-specific alpha-mannosidase,Mus musculus,3100.06,3088.74,3094.4
O54824,Il16,Pro-interleukin-16,Mus musculus,9.25,240.96666666666667,148.28
O54833,Csnk2a2,Casein kinase II subunit alpha',Mus musculus,503.83333333333337,172.13333333333333,337.98333333333335
O54879,Hmgb3,High mobility group protein B3,Mus musculus,2072.56,2850.08,2461.32
O54931,Pakap,PALM2-AKAP2 fusion protein,Mus musculus,708.9,443.26,576.08
O54974,Lgals7,Galectin-7,Mus musculus,6532.05,4275.78,5278.566666666667
O54984,Get3,ATPase GET3,Mus musculus,2894.52,1784.94,2339.73
O54990,Prom1,Prominin-1,Mus musculus,43565.5592,54700.779200000004,49133.169200000004
O55022,Pgrmc1,Membrane-associated progesterone receptor component 1,Mus musculus,1849.38,1620.98,1735.18
O55023,Impa1,Inositol monophosphatase 1,Mus musculus,5730.26,5420.5999999999995,5575.43
O55029,Copb2,Coatomer subunit beta',Mus musculus,1542.28,1033.44,1287.8600000000001
O55042,Snca,Alpha-synuclein,Mus musculus,37872.602,NA,37872.602
O55057,Pde6d,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Mus musculus,1452.7333333333333,NA,1452.7333333333333
O55106;P58404;Q9ERG2,Strn;Strn4;Strn3,Striatin;Striatin-4;Striatin-3,Mus musculus,154,246,215.33333333333331
O55111,Dsg2,Desmoglein-2,Mus musculus,2863.18,2925.7000000000003,2894.44
O55131,Septin7,Septin-7,Mus musculus,4066.9599999999996,1399.8,2733.38
O55135,Eif6,Eukaryotic translation initiation factor 6,Mus musculus,3744.766666666667,1346.3000000000002,2785.38
O55137;Q9QYR9,Acot1;Acot2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",Mus musculus,3731.4800000000005,2349.75,3117.3777777777777
O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Mus musculus,364.5333333333333,466.05,405.14
O55222,Ilk,Integrin-linked protein kinase,Mus musculus,1925.8333333333335,1052.5,1426.7857142857144
O55226,Chad,Chondroadherin,Mus musculus,137366.5202,189777.9376,163572.22890000002
O55234,Psmb5,Proteasome subunit beta type-5,Mus musculus,11602.119999999999,4342.96,7972.54
O70133,Dhx9,ATP-dependent RNA helicase A,Mus musculus,427.725,726.2,487.42
O70138,Mmp8,Neutrophil collagenase,Mus musculus,9664.84,17360.8796,13512.8598
O70145,Ncf2,Neutrophil cytosol factor 2,Mus musculus,7243.38,10332.8,8788.09
O70152,Dpm1,Dolichol-phosphate mannosyltransferase subunit 1,Mus musculus,1021,1274.16,1147.58
O70165,Fcn1,Ficolin-1,Mus musculus,612.1,NA,612.1
O70172,Pip4k2a,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,Mus musculus,1179.1,NA,1179.1
