ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
Q5BKQ4,Pnliprp1,Inactive pancreatic lipase-related protein 1,Mus musculus,53423.9602,76246.6584,64835.3093
Q5DID3,Umodl1,Uromodulin-like 1,Mus musculus,471.1333333333333,54.733333333333334,262.93333333333334
Q5FW60,Mup20,Major urinary protein 20,Mus musculus,109328.58099999999,18757.6998,64043.1404
Q5FWK3,Arhgap1,Rho GTPase-activating protein 1,Mus musculus,2091.88,1452,1771.94
Q5MJS3,Fam20c,Extracellular serine/threonine protein kinase FAM20C,Mus musculus,13833.299799999999,9543.68,11688.4899
Q5NC32,Slc16a11,Monocarboxylate transporter 11,Mus musculus,896.3,NA,896.3
Q5SQX6,Cyfip2,Cytoplasmic FMR1-interacting protein 2,Mus musculus,3458.08,1588.22,2523.15
Q5SUR0,Pfas,Phosphoribosylformylglycinamidine synthase,Mus musculus,1718.7333333333333,543.0749999999999,1046.9285714285716
Q5SW46,Lpo,Lactoperoxidase,Mus musculus,14318728.4,13254625.6,13786677
Q5SX39,Myh4,Myosin-4,Mus musculus,3881.1400000000003,8841.15025,6085.589
Q5SX40,Myh1,Myosin-1,Mus musculus,10888.7598,22864.52,16876.6399
Q5SXG7,Vmo1,Vitelline membrane outer layer protein 1 homolog,Mus musculus,24793.1198,29910.80025,27067.644444444446
Q5UW37,Cxcl17,C-X-C motif chemokine 17,Mus musculus,35539.57475,9560.18,21106.577666666664
Q5XJV6,Lmtk3,Serine/threonine-protein kinase LMTK3,Mus musculus,1291.08,1284.36,1287.72
Q5XJY5,Arcn1,Coatomer subunit delta,Mus musculus,148,232.05,190.025
Q5XKE0,Mybpc2,"Myosin-binding protein C, fast-type",Mus musculus,415,1463.7,764.5666666666667
Q5YD48,A1cf,APOBEC1 complementation factor,Mus musculus,3556.02,9001.8,6278.91
Q60590,Orm1,Alpha-1-acid glycoprotein 1,Mus musculus,43056.661199999995,32230.580599999998,37643.620899999994
Q60604,Scin,Scinderin,Mus musculus,4580.2,NA,4580.2
Q60605,Myl6,Myosin light polypeptide 6,Mus musculus,81946.761,89590.8594,85768.8102
Q60631,Grb2,Growth factor receptor-bound protein 2,Mus musculus,5820.3,6460.12,6140.21
Q60648,Gm2a,Ganglioside GM2 activator,Mus musculus,63003.7602,92886.7804,77945.2703
Q60668,Hnrnpd,Heterogeneous nuclear ribonucleoprotein D0,Mus musculus,20352.5402,27668.0598,24010.3
Q60692,Psmb6,Proteasome subunit beta type-6,Mus musculus,2843.7599999999998,1695.4,2269.58
Q60710,Samhd1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,Mus musculus,5738.64,6319.7,6029.17
Q60737,Csnk2a1,Casein kinase II subunit alpha,Mus musculus,2199.58,2894.84,2547.21
Q60854,Serpinb6,Serpin B6,Mus musculus,28506.0802,7637.28,18071.6801
Q60864,Stip1,Stress-induced-phosphoprotein 1,Mus musculus,1631.48,987.4200000000001,1309.45
Q60900,Elavl3,ELAV-like protein 3,Mus musculus,1861.1,NA,1861.1
Q60928,Ggt1,Glutathione hydrolase 1 proenzyme,Mus musculus,544.25,977.2249999999999,832.9
Q60930,Vdac2,Voltage-dependent anion-selective channel protein 2,Mus musculus,4017.88,3892.55,3962.177777777778
Q60931,Vdac3,Voltage-dependent anion-selective channel protein 3,Mus musculus,173.6,194.66666666666666,189.4
Q60932,Vdac1,Non-selective voltage-gated ion channel VDAC1,Mus musculus,1455.74,1645.325,1540
Q60963,Pla2g7,Platelet-activating factor acetylhydrolase,Mus musculus,255449.2248,299349.7278,277399.4763
Q60967,Papss1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,Mus musculus,95.5,NA,95.5
Q60972;Q60973,Rbbp4;Rbbp7,Histone-binding protein RBBP4;Histone-binding protein RBBP7,Mus musculus,3529.8199999999997,3529.55,3529.7
Q60994,Adipoq,Adiponectin,Mus musculus,8825.5,228.7,1948.06
Q60997,Dmbt1,Deleted in malignant brain tumors 1 protein,Mus musculus,104005.439,85672.58,94839.0095
Q61001,Lama5,Laminin subunit alpha-5,Mus musculus,138.075,227.22,187.6
Q61024,Asns,Asparagine synthetase [glutamine-hydrolyzing],Mus musculus,4958.84,8021.76,6490.3
Q61029;Q61033,Tmpo,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma;Lamina-associated polypeptide 2, isoforms alpha/zeta",Mus musculus,4857.08,5693.22,5275.15
Q61035,Hars1,"Histidine--tRNA ligase, cytoplasmic",Mus musculus,1955.28,1350.3799999999999,1652.83
Q61081,Cdc37,Hsp90 co-chaperone Cdc37,Mus musculus,2181.375,836.75,1509.0625
Q61090;Q9JIP6,Fzd7;Fzd2,Frizzled-7;Frizzled-2,Mus musculus,853.975,4430.875,2642.425
Q61093,Cybb,Cytochrome b-245 heavy chain,Mus musculus,8450.8,8370.1,8410.45
Q61096,Prtn3,Myeloblastin,Mus musculus,14538.26,35652.7,25095.48
Q61112,Sdf4,45 kDa calcium-binding protein,Mus musculus,27578.32,29794.8398,28686.5799
Q61114,Bpifb1,BPI fold-containing family B member 1,Mus musculus,15777995.95,18478005.8,17128000.875
Q61129,Cfi,Complement factor I,Mus musculus,7942.074750000001,693.7,4317.887375
Q61147,Cp,Ceruloplasmin,Mus musculus,133419.76320000002,34711.0596,84065.41140000001
Q61166,Mapre1,Microtubule-associated protein RP/EB family member 1,Mus musculus,1046.1200000000001,1120.54,1083.33
Q61171,Prdx2,Peroxiredoxin-2,Mus musculus,417234.9,80380.9398,248807.9199
Q61176,Arg1,Arginase-1,Mus musculus,128869.042,97103.05960000001,112986.0508
Q61187,Tsg101,Tumor susceptibility gene 101 protein,Mus musculus,1237.76,1209.5,1223.63
Q61206,Pafah1b2,Platelet-activating factor acetylhydrolase IB subunit alpha2,Mus musculus,13721.880000000001,6247.26,9984.57
Q61207,Psap,Prosaposin,Mus musculus,719556.725,823800.2498,771678.4874
Q61210,Arhgef1,Rho guanine nucleotide exchange factor 1,Mus musculus,1846.86,2094.68,1970.77
Q61233,Lcp1,Plastin-2,Mus musculus,96646.1202,132292.3422,114469.2312
Q61239,Fnta,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Mus musculus,830.5,NA,830.5
Q61245,Col11a1,Collagen alpha-1(XI) chain,Mus musculus,77.80000000000001,1170.14,858.0428571428572
Q61247,Serpinf2,Alpha-2-antiplasmin,Mus musculus,59545.36119999999,9714.24,34629.8006
Q61268,Apoc4,Apolipoprotein C-IV,Mus musculus,38976.301,NA,38976.301
Q61292,Lamb2,Laminin subunit beta-2,Mus musculus,803.6,653.96,728.78
Q61316,Hspa4,Heat shock 70 kDa protein 4,Mus musculus,1426.5200000000002,446.6,936.56
Q61362,Chi3l1,Chitinase-3-like protein 1,Mus musculus,73854.9808,128094.2186,100974.59969999999
Q61391,Mme,Neprilysin,Mus musculus,14703.4602,9387.26,12045.3601
Q61398,Pcolce,Procollagen C-endopeptidase enhancer 1,Mus musculus,20452.7802,19752.980199999998,20102.8802
Q61400,Ceacam10,Carcinoembryonic antigen-related cell adhesion molecule 10,Mus musculus,2156.96,4023.36,3090.1600000000003
Q61414,Krt15,"Keratin, type I cytoskeletal 15",Mus musculus,64251.299,73007.6582,68629.4786
Q61425,Hadh,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Mus musculus,20709.7802,19674.1204,20191.9503
Q61462,Cyba,Cytochrome b-245 light chain,Mus musculus,11811.5,19810.5598,15811.029900000001
Q61468,Msln,Mesothelin,Mus musculus,8124.72,10842.26,9483.49
Q61495,Dsg1a,Desmoglein-1-alpha,Mus musculus,43591.58,37271.6204,40431.6002
Q61496,Ddx4,ATP-dependent RNA helicase DDX4,Mus musculus,5224.9400000000005,2246.5,3735.7200000000003
Q61503,Nt5e,5'-nucleotidase,Mus musculus,2509.7999999999997,3787.7599999999998,3148.7799999999997
Q61508,Ecm1,Extracellular matrix protein 1,Mus musculus,18203.0802,19032.24,18617.6601
Q61543,Glg1,Golgi apparatus protein 1,Mus musculus,29506.7008,33157.5204,31332.1106
Q61545,Ewsr1,RNA-binding protein EWS,Mus musculus,2568.48,1832.66,2200.57
Q61553,Fscn1,Fascin,Mus musculus,1172.65,376.6,907.3000000000001
Q61581,Igfbp7,Insulin-like growth factor-binding protein 7,Mus musculus,1553.75,517.15,862.6833333333333
Q61592,Gas6,Growth arrest-specific protein 6,Mus musculus,7320.92,9632.9,8476.91
Q61598,Gdi2,Rab GDP dissociation inhibitor beta,Mus musculus,36777.4194,28247.3,32512.3597
Q61599,Arhgdib,Rho GDP-dissociation inhibitor 2,Mus musculus,41620.16,86921.1204,64270.6402
Q61646,Hp,Haptoglobin,Mus musculus,270942.1532,248691.4406,259816.79690000002
Q61656,Ddx5,Probable ATP-dependent RNA helicase DDX5,Mus musculus,1653.975,781,1168.9888888888888
Q61702,Itih1,Inter-alpha-trypsin inhibitor heavy chain H1,Mus musculus,25546.900599999997,2507.7200000000003,14027.3103
Q61703,Itih2,Inter-alpha-trypsin inhibitor heavy chain H2,Mus musculus,38109.201199999996,5948.76,22028.9806
Q61704,Itih3,Inter-alpha-trypsin inhibitor heavy chain H3,Mus musculus,12080.599333333334,1455.9333333333334,6768.266333333333
Q61730,Il1rap,Interleukin-1 receptor accessory protein,Mus musculus,16382.7596,4711.32,10547.0398
Q61753,Phgdh,D-3-phosphoglycerate dehydrogenase,Mus musculus,8519.460000000001,10098.74,9309.1
Q61754,Klk1b24,Kallikrein 1-related peptidase b24,Mus musculus,224594.2188,41024.039600000004,132809.1292
Q61759,Klk1b21,Kallikrein 1-related peptidase b21,Mus musculus,10571.4402,2198.9,9176.016833333333
Q61765,Krt31,"Keratin, type I cuticular Ha1",Mus musculus,70339.681,38041.0402,54190.3606
Q61768,Kif5b,Kinesin-1 heavy chain,Mus musculus,705.45,553.65,629.5500000000001
Q61781,Krt14,"Keratin, type I cytoskeletal 14",Mus musculus,639445.6688,610678.5,625062.0844
Q61792,Lasp1,LIM and SH3 domain protein 1,Mus musculus,6779.16,17015.239999999998,11897.2
Q61805,Lbp,Lipopolysaccharide-binding protein,Mus musculus,31283.1404,39381.2,35332.1702
Q61823,Pdcd4,Programmed cell death protein 4,Mus musculus,1107.0333333333333,409.9,932.75
Q61835,Fxyd3,FXYD domain-containing ion transport regulator 3,Mus musculus,3560.72,11295.9198,7428.3199
Q61838,Pzp,Pregnancy zone protein,Mus musculus,553326.9804,49406.581,301366.7807
Q61865,Mia,Melanoma-derived growth regulatory protein,Mus musculus,5521.94,6126.76,5824.35
Q61897,Krt33b,"Keratin, type I cuticular Ha3-II",Mus musculus,15112.60025,12002.1,14075.766833333333
Q61900,Smr3a,Submaxillary gland androgen-regulated protein 3A,Mus musculus,638621305.6,641399321.6,640010313.6
Q61937,Npm1,Nucleophosmin,Mus musculus,1407.65,539.8,829.0833333333333
Q61990,Pcbp2,Poly(rC)-binding protein 2,Mus musculus,710.6,NA,710.6
Q62009,Postn,Periostin,Mus musculus,2395.6000000000004,NA,2395.6000000000004
Q62048,Pea15,Astrocytic phosphoprotein PEA-15,Mus musculus,5022.15,NA,5022.15
Q62087,Pon3,Serum paraoxonase/lactonase 3,Mus musculus,16369.4998,11806.22,14087.8599
Q62093,Srsf2,Serine/arginine-rich splicing factor 2,Mus musculus,9886.58,7532.5599999999995,8709.57
Q62159;Q9QUI0,Rhoc;Rhoa,Rho-related GTP-binding protein RhoC;Transforming protein RhoA,Mus musculus,46644.301,46885.0204,46764.6607
Q62165,Dag1,Dystroglycan 1,Mus musculus,28727.4,25716.9,27222.15
Q62179,Sema4b,Semaphorin-4B,Mus musculus,4722.1,5195.88,4958.99
Q62181,Sema3c,Semaphorin-3C,Mus musculus,54868.099,66333.0804,60600.5897
Q62186,Ssr4,Translocon-associated protein subunit delta,Mus musculus,7076.4400000000005,7738.549999999999,7265.614285714286
Q62188,Dpysl3,Dihydropyrimidinase-related protein 3,Mus musculus,16803.2005,1188.025,8995.61275
Q62189,Snrpa,U1 small nuclear ribonucleoprotein A,Mus musculus,760.8,709.08,734.9399999999999
Q62193,Rpa2,Replication protein A 32 kDa subunit,Mus musculus,423,NA,423
Q62234,Myom1,Myomesin-1,Mus musculus,57.2,133.3,95.25
Q62261,Sptbn1,"Spectrin beta chain, non-erythrocytic 1",Mus musculus,882.2,964.28,923.24
Q62266,Sprr1a,Cornifin-A,Mus musculus,975.1499999999999,627.4666666666667,766.54
Q62348,Tsn,Translin,Mus musculus,5816.0798,1382.2,3599.1399
Q62351,Tfrc,Transferrin receptor protein 1,Mus musculus,1127.4,160,482.4666666666667
Q62381,Tll1,Tolloid-like protein 1,Mus musculus,1009,4899.92,3788.2285714285713
Q62393,Tpd52,Tumor protein D52,Mus musculus,9818.9802,11291.56,10555.2701
Q62422,Ostf1,Osteoclast-stimulating factor 1,Mus musculus,11167.36,21470.3398,16318.849900000001
Q62426,Cstb,Cystatin-B,Mus musculus,10101.2802,6908.1,8504.6901
Q62446,Fkbp3,Peptidyl-prolyl cis-trans isomerase FKBP3,Mus musculus,1468,NA,1468
Q62465,Vat1,Synaptic vesicle membrane protein VAT-1 homolog,Mus musculus,36201.1206,36255.401,36228.2608
Q62468,Vil1,Villin-1,Mus musculus,6337,NA,6337
Q62471,Lcn3,Vomeronasal secretory protein 1,Mus musculus,6320621.55,2469029.975,4394825.7625
Q62472,Lcn4,Vomeronasal secretory protein 2,Mus musculus,956743.225,442783.1562,699763.1906
Q62523,Zyx,Zyxin,Mus musculus,4066.98,7030.42,5548.7
Q63844,Mapk3,Mitogen-activated protein kinase 3,Mus musculus,5720.18,7658.38,6689.28
Q63870,Col7a1,Collagen alpha-1(VII) chain,Mus musculus,31438.46,40538.6592,35988.5596
Q63880;Q8VCU1,Ces3a;Ces3b,Carboxylesterase 3A;Carboxylesterase 3B,Mus musculus,146.2,NA,146.2
Q63918,Cavin2,Caveolae-associated protein 2,Mus musculus,1558.2,NA,1558.2
Q63932,Map2k2,Dual specificity mitogen-activated protein kinase kinase 2,Mus musculus,591.5,213.75,402.625
Q64010,Crk,Adapter molecule crk,Mus musculus,1791.65,NA,1791.65
Q64012,Raly,RNA-binding protein Raly,Mus musculus,435.4,388,423.54999999999995
Q640M1,Utp14a,U3 small nucleolar RNA-associated protein 14 homolog A,Mus musculus,644.02,1665.24,1154.6299999999999
Q64105,Spr,Sepiapterin reductase,Mus musculus,12741.650249999999,7366.05,10053.850124999999
Q64191,Aga,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,Mus musculus,17260,21752.32,19506.16
Q64288,Omp,Olfactory marker protein,Mus musculus,79806.9,13913.7798,46860.3399
Q64322,Npdc1,Neural proliferation differentiation and control protein 1,Mus musculus,14104.5802,30710.1398,22407.36
Q64324,Stxbp2,Syntaxin-binding protein 2,Mus musculus,1798.1,1973.5,1885.8000000000002
Q64331,Myo6,Unconventional myosin-VI,Mus musculus,4881.9,1461.25,2601.4666666666667
Q64339,Isg15,Ubiquitin-like protein ISG15,Mus musculus,9707.9,1923.6,5815.75
Q64362,Aktip,AKT-interacting protein,Mus musculus,528,273.9,400.95
Q64433,Hspe1,"10 kDa heat shock protein, mitochondrial",Mus musculus,9779.840199999999,9758.98,9769.4101
Q64435,Ugt1a6,UDP-glucuronosyltransferase 1-6,Mus musculus,968.025,590.475,779.25
Q64436,Atp4a,Potassium-transporting ATPase alpha chain 1,Mus musculus,381.92,696.54,539.23
Q64437,Adh7,All-trans-retinol dehydrogenase [NAD(+)] ADH7,Mus musculus,25413.3396,20585.2802,22999.3099
Q64449,Mrc2,C-type mannose receptor 2,Mus musculus,1690,NA,1690
Q64467,Gapdhs,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",Mus musculus,1870.125,1695.3,1835.16
Q64471,Gstt1,Glutathione S-transferase theta-1,Mus musculus,3990.3,NA,3990.3
Q64514,Tpp2,Tripeptidyl-peptidase 2,Mus musculus,1841.5,951.34,1396.42
Q64518,Atp2a3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Mus musculus,NA,5946.4,5946.4
Q64520,Guk1,Guanylate kinase,Mus musculus,6193.4,NA,6193.4
Q64523;Q6GSS7,H2ac20;Hist2h2aa1,Histone H2A type 2-C;Histone H2A type 2-A,Mus musculus,7883.6,8217.9202,8050.7600999999995
Q64669,Nqo1,NAD(P)H dehydrogenase [quinone] 1,Mus musculus,7105.533333333334,891.6,5552.05
Q64674,Srm,Spermidine synthase,Mus musculus,4419.54,7027.9000000000005,5723.72
Q64726,Azgp1,Zinc-alpha-2-glycoprotein,Mus musculus,134503.5412,62485.56,98494.5506
Q64727,Vcl,Vinculin,Mus musculus,21722.0006,15521.92,18621.9603
Q68FD5,Cltc,Clathrin heavy chain 1,Mus musculus,6927.44,7172.12,7049.78
Q68FH4,Galk2,N-acetylgalactosamine kinase,Mus musculus,919.7,128.85,392.4666666666667
Q69Z37,Samd9l,Sterile alpha motif domain-containing protein 9-like,Mus musculus,NA,124.6,124.6
Q6AZB0,Boc,Brother of CDO,Mus musculus,628.45,434.74,520.8333333333334
Q6DYE8,Enpp3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,Mus musculus,4511.36,4168.12,4339.74
Q6F3F9,Adgrg6,Adhesion G-protein coupled receptor G6,Mus musculus,874.94,894.14,884.54
Q6GQT9,Nomo1,BOS complex subunit NOMO1,Mus musculus,359.2,625.7,492.45
Q6GU68,Islr,Immunoglobulin superfamily containing leucine-rich repeat protein,Mus musculus,1837.4,NA,1837.4
Q6IFX2,Krt42,"Keratin, type I cytoskeletal 42",Mus musculus,45143.08119999999,29999.0196,37571.0504
Q6IFX4,Krt39,"Keratin, type I cytoskeletal 39",Mus musculus,147.65,850.1500000000001,498.9
Q6IFZ6,Krt77,"Keratin, type II cytoskeletal 1b",Mus musculus,452214.1158,201412.3436,326813.22969999997
Q6IFZ9,Krt74,"Keratin, type II cytoskeletal 74",Mus musculus,1875.6799999999998,941.25,1460.3777777777777
Q6IMF0,Krt87,"Keratin, type II cuticular 87",Mus musculus,115494.06120000001,86724.201,104705.363625
Q6IRU2,Tpm4,Tropomyosin alpha-4 chain,Mus musculus,3845.64,2720.94,3283.29
Q6IRU5,Cltb,Clathrin light chain B,Mus musculus,2291.1,NA,2291.1
Q6JHY2,Muc19,Submandibular gland protein C,Mus musculus,330388.62179999996,10625980.8,5478184.7109
Q6L8S8,B4galnt3,"Beta-1,4-N-acetylgalactosaminyltransferase 3",Mus musculus,47724.6394,49573.7788,48649.2091
Q6NXH9,Krt73,"Keratin, type II cytoskeletal 73",Mus musculus,77602.19840000001,57485.52,67543.8592
Q6NZB0,Dnajc8,DnaJ homolog subfamily C member 8,Mus musculus,NA,93.33333333333333,93.33333333333333
Q6NZJ6,Eif4g1,Eukaryotic translation initiation factor 4 gamma 1,Mus musculus,293.88,165.43333333333334,245.7125
Q6P069,Sri,Sorcin,Mus musculus,17262.16,20654.459600000002,18958.3098
Q6P1B1,Xpnpep1,Xaa-Pro aminopeptidase 1,Mus musculus,2508,1550.8,2316.5600000000004
Q6P1F6;Q8BG02,Ppp2r2a;Ppp2r2c,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform,Mus musculus,79,NA,79
Q6P253,Dmkn,Dermokine,Mus musculus,7348.68,9987.4802,8668.0801
Q6P2L7,Golm2,Protein GOLM2,Mus musculus,961.22,1160.8,1061.01
Q6P3D0,Nudt16,U8 snoRNA-decapping enzyme,Mus musculus,1159.9,NA,1159.9
Q6P5E4,Uggt1,UDP-glucose:glycoprotein glucosyltransferase 1,Mus musculus,22304.0402,22193.2398,22248.64
Q6P5E6;Q8BMI3;Q8R0H9,Gga2;Gga3;Gga1,ADP-ribosylation factor-binding protein GGA2;ADP-ribosylation factor-binding protein GGA3;ADP-ribosylation factor-binding protein GGA1,Mus musculus,564,422.32,462.8
Q6P5F9,Xpo1,Exportin-1,Mus musculus,51997.6002,33648.1004,42822.8503
Q6P8J7,Ckmt2,"Creatine kinase S-type, mitochondrial",Mus musculus,1065.9,NA,1065.9
Q6P8K8,Cpa4,Carboxypeptidase A4,Mus musculus,10125.8598,9742.8,9934.3299
Q6P8U6,Pnlip,Pancreatic triacylglycerol lipase,Mus musculus,3009.7,NA,3009.7
Q6P9R2,Oxsr1,Serine/threonine-protein kinase OSR1,Mus musculus,4325.18,3783.7400000000002,4054.46
Q6P9S7,Galnt10,Polypeptide N-acetylgalactosaminyltransferase 10,Mus musculus,16025.5002,19668.4196,17846.9599
Q6PB44,Ptpn23,Tyrosine-protein phosphatase non-receptor type 23,Mus musculus,72.7,NA,72.7
Q6PD03,Ppp2r5a,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Mus musculus,353,767.475,589.8428571428572
Q6PDI5,Ecpas,Proteasome adapter and scaffold protein ECM29,Mus musculus,174,139.8,154.45714285714286
Q6PDM2,Srsf1,Serine/arginine-rich splicing factor 1,Mus musculus,1295.9,1064.65,1141.7333333333333
Q6PDN3,Mylk,"Myosin light chain kinase, smooth muscle",Mus musculus,1602,2232.7999999999997,1917.3999999999999
Q6PGH2,Jpt2,Jupiter microtubule associated homolog 2,Mus musculus,698.9,NA,698.9
Q6PHU5,Sort1,Sortilin,Mus musculus,1383.18,1816.8,1599.99
Q6PZE0,Muc19,Mucin-19,Mus musculus,1768443.2376,2310642.975,2039543.1063
Q6Q899,Rigi,Antiviral innate immune response receptor RIG-I,Mus musculus,96.4,279.5,248.98333333333335
Q6RHW0,Krt9,"Keratin, type I cytoskeletal 9",Mus musculus,1432.4333333333334,1711.02,1606.55
Q6S5C2,Gnptg,N-acetylglucosamine-1-phosphotransferase subunit gamma,Mus musculus,149103.50160000002,115140.0406,132121.7711
Q6TEK5,Vkorc1l1,Vitamin K epoxide reductase complex subunit 1-like protein 1,Mus musculus,2224.266666666667,2332,2267.36
Q6UGQ3,Scgb2b2,Secretoglobin family 2B member 2,Mus musculus,2155070.0374,4225434.15,3190252.0937
Q6URW6,Myh14,Myosin-14,Mus musculus,1022.15,471.38,716.1666666666666
Q6V4S5,Sdk2,Protein sidekick-2,Mus musculus,NA,291.6333333333333,291.6333333333333
Q6WVG3,Kctd12,BTB/POZ domain-containing protein KCTD12,Mus musculus,10667.12,9956.1,10311.61
Q6XQH0,Gal3st2,Galactose-3-O-sulfotransferase 2,Mus musculus,35324.0392,10333.7202,22828.8797
Q6ZPJ3,Ube2o,(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O,Mus musculus,3731.1,NA,3731.1
Q6ZQ38,Cand1,Cullin-associated NEDD8-dissociated protein 1,Mus musculus,3074.3599999999997,1967.3,2520.83
Q6ZQA0,Nbeal2,Neurobeachin-like protein 2,Mus musculus,35.06666666666667,85.8,66.775
Q6ZQI3,Mlec,Malectin,Mus musculus,2301.48,2069.9666666666667,2214.6625
Q6ZWM4,Lsm8,U6 snRNA-associated Sm-like protein LSm8,Mus musculus,3463.5,274.76666666666665,1550.2599999999998
Q6ZWN5,Rps9,Small ribosomal subunit protein uS4,Mus musculus,20196.5396,19412.8798,19804.7097
Q6ZWQ7,Spcs3,Signal peptidase complex subunit 3,Mus musculus,8365.275,10234.2002,9403.566777777778
Q6ZWR6,Syne1,Nesprin-1,Mus musculus,156.35999999999999,90.78,123.57000000000001
Q6ZWU9;Q6ZWY3,Rps27;Rps27l,Small ribosomal subunit protein eS27;Small ribosomal subunit protein eS27-like,Mus musculus,9480.55,5939.450000000001,7710
Q6ZWV3,Rpl10,Large ribosomal subunit protein uL16,Mus musculus,3003.875,5118.6,3426.82
Q6ZWV7,Rpl35,Large ribosomal subunit protein uL29,Mus musculus,5775.1,2055.62,2675.5333333333333
Q6ZWX6,Eif2s1,Eukaryotic translation initiation factor 2 subunit 1,Mus musculus,4029.96,3892.02,3960.9900000000002
Q717B4,Tdpoz3,TD and POZ domain-containing protein 3,Mus musculus,1653.0249999999999,1645.34,1648.7555555555555
Q76MZ3,Ppp2r1a,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Mus musculus,3575.18,2059.7200000000003,2817.45
Q78PY7,Snd1,Staphylococcal nuclease domain-containing protein 1,Mus musculus,1393.32,1001.0600000000001,1197.19
Q78ZA7,Nap1l4,Nucleosome assembly protein 1-like 4,Mus musculus,2542.4,905.7,1996.8333333333335
Q7M742,Scgb1c1,Secretoglobin family 1C member 1,Mus musculus,38639.699,87024.0406,62831.8698
Q7M747,Scgb2b24,Secretoglobin family 2B member 24,Mus musculus,82233.761,94663.17760000001,88448.4693
Q7TMD7,Dsg4,Desmoglein-4,Mus musculus,NA,725.1,725.1
Q7TMJ8,Pik3ip1,Phosphoinositide-3-kinase-interacting protein 1,Mus musculus,604.45,555.25,588.05
Q7TMK9,Syncrip,Heterogeneous nuclear ribonucleoprotein Q,Mus musculus,4546.32,1844.76,3195.54
Q7TMR0,Prcp,Lysosomal Pro-X carboxypeptidase,Mus musculus,4613.76,4518.78,4566.27
Q7TN29,Smap2,Stromal membrane-associated protein 2,Mus musculus,299.7,705.66,638
Q7TNG5,Eml2,Echinoderm microtubule-associated protein-like 2,Mus musculus,4407.5,3725.76,4066.63
Q7TNK8,Adm2,Protein ADM2,Mus musculus,8909.54,6638.38,7773.96
Q7TPC1,Cdsn,Corneodesmosin,Mus musculus,38236.5188,26182.5804,32209.549600000002
Q7TPR4,Actn1,Alpha-actinin-1,Mus musculus,49818.038,68368.6194,59093.3287
Q7TQ48,Srl,Sarcalumenin,Mus musculus,429.25,849.7,569.4
Q7TQ62,Podn,Podocan,Mus musculus,2467.4,NA,2467.4
Q7TQI3,Otub1,Ubiquitin thioesterase OTUB1,Mus musculus,10025.24,6908.0599999999995,8466.65
Q7TSF1,Dsg1b,Desmoglein-1-beta,Mus musculus,1152.4,1638.46,1422.4333333333334
Q7TSV4,Pgm2,Phosphopentomutase,Mus musculus,2607.76,1375.58,1991.67
Q7TT41,Moxd2,DBH-like monooxygenase protein 2,Mus musculus,146.5,2334.8,1240.65
Q7TT45;Q99K70,Rragd;Rragc,Ras-related GTP-binding protein D;Ras-related GTP-binding protein C,Mus musculus,650.5,NA,650.5
Q80U22,Rusc2,AP-4 complex accessory subunit RUSC2,Mus musculus,1316.06,1462.18,1389.12
Q80UM7,Mogs,Mannosyl-oligosaccharide glucosidase,Mus musculus,63243.741,78326.5416,70785.1413
Q80V26,Bpnt2,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",Mus musculus,2923,3177.22,3050.11
Q80V42,Cpm,Carboxypeptidase M,Mus musculus,2781.6,1963.94,2372.77
Q80V53,Chst14,Carbohydrate sulfotransferase 14,Mus musculus,2649.98,3444.2599999999998,3047.12
Q80VA0,Galnt7,N-acetylgalactosaminyltransferase 7,Mus musculus,6320.68,10792.7,8556.69
Q80VQ0,Aldh3b1,Aldehyde dehydrogenase family 3 member B1,Mus musculus,1422.54,1315.6,1375.0111111111112
Q80W54,Zmpste24,CAAX prenyl protease 1 homolog,Mus musculus,1458,1475.84,1466.92
Q80WM4,Hapln4,Hyaluronan and proteoglycan link protein 4,Mus musculus,53390.379,43412.3602,48401.3696
Q80WM7,Prss33,Serine protease 33,Mus musculus,1277.4333333333332,2467.45,1957.442857142857
Q80X72,Lrrc15,Leucine-rich repeat-containing protein 15,Mus musculus,538.86,1592.1000000000001,933.825
Q80XI7,Bpifb9a,Vomeromodulin,Mus musculus,25534633.8,13647352.2,19590993
Q80XN0,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Mus musculus,229.55,130.1,196.4
