human_gene,mouse_gene,TPM_human,TPM_mouse
C9,C9,489.585440076336,475.2808308657658
CA11,Car11,1.1800205,0.3285184991825052
CA6,Car6,0.00737290839694657,564.9888486916485
CAMP,Camp,0.877995278625954,0.3315392592109932
CARTPT,Cartpt,0.0473030381679389,0.00909953571989874
CBLIF,Cblif,0.13469322519084,0.01031858285376201
CBLN1,Cbln1,0.616323797709924,0.06136961020601098
CBLN2,Cbln2,0.0425148358778626,0
CBLN3,Cbln3,3.65213933969466,0.411086427017753
CBLN4,Cbln4,0.365393923664122,0
CCBE1,Ccbe1,2.59800279770992,0.9662995794630788
CCDC126,Ccdc126,2.75902439694657,2.109421159887347
CCDC134,Ccdc134,1.60463938549618,2.452378996865494
CCDC3,Ccdc3,11.043880259542,0.7847634744926074
CCDC80,Ccdc80,1.1508515610687,5.544947910336408
CCK,Cck,0.336536351145038,0.4008848096309487
CCL11,Ccl11,0.431572335877863,0.4067398687007973
CCL17,Ccl17,0.222389015267176,0.04372350782427085
CCL20,Ccl20,11.3573204503817,0
CCL22,Ccl22,0.0947622213740458,0.3937464362652288
CCL24,Ccl24,0.554633763358779,2.4616115535134715
CCL25,Ccl25,0.097760572519084,2.792583058189032
CCL26,Ccl26,0.238321148854962,0
CCL28,Ccl28,1.01400788931298,2.4648059447045365
CCL5,Ccl5,8.38603195801527,3.2250524876365017
CCL7,Ccl7,0.0952310916030534,0.556428048380631
CCL8,Ccl8,0.28713858778626,0.5116965540477869
CCN1,Ccn1,140.858188053435,7.594874478315927
CCN2,Ccn2,59.9734629770993,2.6439968241314777
CCN3,Ccn3,0.952033538167939,0.076348159719549
CCN4,Ccn4,2.06122583587786,0.3473358891266024
CCN5,Ccn5,1.40250789312977,0.20697325596770985
CCN6,Ccn6,0.115127687022901,0.42919018361703426
CD14,Cd14,255.874525572519,4.476580306585758
CD160,Cd160,0.556437198473283,0.3059494103428741
CD163,Cd163,16.0285392671756,2.743877367724415
CD40,Cd40,8.18478553435114,0.384168616125681
CD40LG,Cd40lg,0.281827599236641,0.08640881697337116
CD44,Cd44,3.60786555725191,1.8062875439219976
CD48,Cd48,1.24970269083969,1.3212670862137383
CD5L,Cd5l,7.13491155725191,56.824061652817505
CD74,Cd74,167.313182824427,39.07864366628547
CD99L2,Cd99l2,22.612527519084,15.359675668356244
CDNF,Cdnf,3.16101041984733,0.466924176865614
CDSN,Cdsn,0.0318633091603053,0.05111271932522208
CEACAM16,Ceacam16,0.142311377862595,0.01003360688974671
CEL,Cel,2.77973584351145,175.13051458235776
CELA1,Cela1,0.0297746946564885,375.1893966672968
CEMIP,Cemip,0.402288064885496,0.01222923532892393
CER1,Cer1,0.0144237061068702,0
CES4A,Ces4a,11.6115283320611,2.371423553029288
CES5A,Ces5a,2.31769335877863,0.01082803480006411
CFB,Cfb,1526.79370992366,1012.459607088793
CFD,Cfd,5.3902322480916,4.903411128994031
CFHR3,Cfhr2,129.856395305344,342.7086476321705
CFI,Cfi,217.904298854962,600.8830162964192
