human_gene,mouse_gene,TPM_human,TPM_mouse
APOA1,Apoa1,1.09248622651934,2018.709965159243
APOA2,Apoa2,0.457332113259669,66.55386500852406
APOA4,Apoa4,0.088430408839779,2140.109791006209
APOA5,Apoa5,1.64664551104972,4.742266413895212
APOB,Apob,0.0775865801104972,30.71406561834985
APOC1,Apoc1,4.46801752762431,27.798943005676175
APOC3,Apoc3,0.777097848066298,163.6015175782447
APOC4,Apoc4,0.0541810082872928,3.3969780947374977
APOD,Apod,132.485480939227,1.5860534677617135
APOE,Apoe,23.1110473480663,282.31969572573587
APOF,Apof,0.0320264779005525,3.50076223186397
APOH,Apoh,5.23977187569061,16.645559621566946
APOM,Apom,2.23661564364641,3.2343468706262968
APOO,Apoo,3.24409479558011,9.206242637299525
APP,App,82.1430033149171,9.137840781612088
ARSI,Arsi,0.203252649171271,0.4568476902868074
ARSJ,Arsj,0.964875784530387,0.08082539319009294
ARSK,Arsk,2.21730260773481,1.087239710701792
ART5,Art5,0.231744267955801,0.06624772169834459
ARTN,Artn,0.825497848066298,0.0983977315195586
ASIP,a,0.0774298038674033,0.00696282925506551
ASPN,Aspn,3.45486896132597,1.7259879305109604
AVP,Avp,0.054430546961326,0
AZGP1,Azgp1,245.662914917127,12.191745788376007
B2M,B2m,349.053036740332,630.0007385591925
B3GAT1,B3gat1,0.162099458563536,0.00328715505139293
BCAN,Bcan,0.0686933977900553,0.07485760981323242
BCHE,Bche,0.372071386740331,3.9498251577832386
BDNF,Bdnf,0.060498364640884,0.02864174931425999
BGN,Bgn,56.7791669337017,24.6885338627896
BMP1,Bmp1,5.97295223756906,5.059094426427703
BMP10,Bmp10,0.0314762320441989,0
BMP15,Bmp15,9.4100828729281e-4,0.01099381805721735
BMP2,Bmp2,3.84812152486188,1.196054905436159
BMP3,Bmp3,0.0266712375690608,3.152575126182625
BMP4,Bmp4,1.55631071823204,3.335572344540098
BMP5,Bmp5,0.640617011049724,0.4577966879786477
BMP6,Bmp6,0.328145110497238,0.9201187703738948
BMP7,Bmp7,0.289309027624309,6.640180394417596
BMPER,Bmper,0.0850826657458564,0.3278475281480393
BPI,Bpi,0.0395855966850829,0.00676440376670029
BPIFA2,Bpifa2,0.0049692044198895,3645.688507290003
BPIFA3,Bpifa3,0.00758378729281768,0
BPIFB1,Bpifb1,0.0644759972375691,0.3489571453525326
BPIFB2,Bpifb2,0.167894063535912,0.14757522638378293
BPIFB3,Bpifb3,0.00130249723756906,0.00617171731051462
BPIFB4,Bpifb4,0.00606753867403315,0.02659288138423662
BPIFB6,Bpifb6,0.00110778729281768,0.00157217296671143
BPIFC,Bpifc,0.0216068508287293,0.007099333077924
BRINP2,Brinp2,0.0516100193370166,0.07128364633642562
BRINP3,Brinp3,0.0119318701657459,0.02687586612789842
BSPH1,Bsph1,0.0022117182320442,0
BTBD17,Btbd17,0.21018370718232,0.03363839846541319
BTC,Btc,1.89804060220994,0.6373037594003709
BTD,Btd,2.90542856353591,5.920123772446063
C17orf67,Gm525,1.63067382044199,0.09194136018412058
C1QA,C1qa,17.7499487513812,51.02255281392967
C1QB,C1qb,21.9255176270718,25.56001598155511
C1QBP,C1qbp,34.3271225690608,30.858933254764462
C1QC,C1qc,19.7680699198895,30.764804455786248
C1QL1,C1ql1,2.71130033149171,0.0147325414893604
C1QL2,C1ql2,0.0475645303867403,0.220601355112298
C1QL3,C1ql3,0.393985060773481,0.14497168907439667
C1QL4,C1ql4,0.0188935,0.01341364730205458
C1QTNF1,C1qtnf1,5.78504182872928,1.354938058934317
C1QTNF12,C1qtnf12,0.517298787292818,13.961948197650791
C1QTNF2,C1qtnf2,0.269145665745856,0.909233653284514
C1QTNF3,C1qtnf3,2.4455934281768,0.140586645007551
C1QTNF4,C1qtnf4,0.351690624309392,0.08631565226923263
C1QTNF5,C1qtnf5,0.179805809392265,0
C1QTNF6,C1qtnf6,1.8524679281768,2.292965674934677
C1QTNF7,C1qtnf7,0.298828160220995,0.3993321681371064
C1RL,C1rl,21.8725469889503,5.998492429230954
C1orf56,Gm128,5.15529698895028,0.06322859879309718
C2,C2,0.912749582872928,5.815202197120263
C3,C3,162.641408038674,69.453721681114
C5,Hc,10.9020736740331,0.978509769234536
C5orf46,Gm94,0.163368674033149,0
C6,C6,23.461057320442,0.7769897956903781
C6orf58,2310057J18Rik,0.167693395027624,230.01366394970623
C7,C7,72.1589701104972,1.165770783729752
C8A,C8a,0.0907602707182321,1.7499402436440024
C8B,C8b,0.0488528701657459,1.8220068805314176
C8G,C8g,0.509619276243094,3.055728527899085
C9,C9,0.0387039834254144,1.998414773768076
CA11,Car11,4.07178950276243,0.6521137992602355
CA6,Car6,0.00825239502762431,452.4256192607202
CAMP,Camp,0.0548452486187845,0.6986400785693283
CARTPT,Cartpt,0.2068615,0.3706978756515919
CBLIF,Cblif,0.162994116022099,0.4075035219851617
CBLN1,Cbln1,0.803564204419889,0.04914239765812014
CBLN2,Cbln2,0.00916997790055249,0.03704421811371267
CBLN3,Cbln3,1.28709775138122,0.01922422990753216
CBLN4,Cbln4,0.327196270718232,0.00553333736550448
CCBE1,Ccbe1,0.325833928176796,0.9848875175422456
CCDC126,Ccdc126,2.3713451878453,1.2765357357154246
CCDC134,Ccdc134,2.45630274309392,2.2398066587965753
CCDC3,Ccdc3,2.3880337320442,0.7551641452686533
CCDC80,Ccdc80,5.18952916298343,5.064453013229861
CCK,Cck,0.186997055248619,13.274410928117783
CCL11,Ccl11,2.44424938674033,10.31656667125339
CCL17,Ccl17,0.0876325994475138,0.1824109213169487
CCL20,Ccl20,0.973389292817679,0.5129927956186364
CCL22,Ccl22,0.0661966049723757,6.122860074272148
CCL24,Ccl24,0.119219698895028,2.166573925136191
CCL25,Ccl25,0.0077185635359116,26.875740414543955
CCL26,Ccl26,0.181369889502762,0
CCL28,Ccl28,4.74794965745856,3.2035592209542436
CCL5,Ccl5,2.34126184254144,48.48140561378033
CCL7,Ccl7,0.0535689613259669,0.7850105253071538
CCL8,Ccl8,0.248121220994475,0.9763923009593092
CCN1,Ccn1,53.1419757182321,2.001120505789781
CCN2,Ccn2,74.6367864088398,1.6482537256175571
CCN3,Ccn3,3.45158783425414,0.855933940844205
CCN4,Ccn4,0.763566726519337,0.19334313431469255
CCN5,Ccn5,0.968253080110497,0.33406776801348786
CCN6,Ccn6,0.0387429917127072,0.01998011086334794
CD14,Cd14,14.1271327900553,6.390446724967156
