Geneid,secreted,Reference,Function,Mean_TPM,Mean_TPM_Male,Mean_TPM_Fem,Mous-1B-PAR-Mal-L,Mous-2B-PAR-Mal-L,Mous-3B-PAR-Mal-L,Mous-3A-PAR-Mal-L,Mous-4A-PAR-Fem-L,Mous-5A-PAR-Fem-L
1700003P14Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700006A11Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700006F04Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700006H20Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700006H21Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700006J14Rik,No_annotation,NA,NA,0.014210804330064934,0.015400552654618477,0.01183130768095785,0,0.0451216212387605,0.010278106334599,0.00620248304511441,0,0.0236626153619157
1700007E05Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700007F19Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700007J10Rik,No_annotation,NA,NA,0.011768527685959651,0.017652791528939477,0,0,0,0,0.0706111661157579,0,0
1700007L15Rik,No_annotation,NA,NA,2.1634168966689815,1.8733418954472525,2.74356689911244,2.49486617945617,1.71897067899953,1.9142869854352,1.36524373789811,1.53072550359581,3.95640829462907
1700007P06Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700008C04Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700008J07Rik,No_annotation,NA,NA,1.123018974670048,0.9128272645705667,1.5434023948690105,1.27718272755877,0.586655289296714,0.948789238622596,0.838681802804187,0.764025255212731,2.32277953452529
1700008K24Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700008O03Rik,No_annotation,NA,NA,0.04354778690051499,0.028676067718800827,0.0732912252639433,0.0473853301818906,0,0,0.0673189406933127,0.0181707975970326,0.128411652930854
1700008P02Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700009C05Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700009J07Rik,No_annotation,NA,NA,0.2408044740666972,0.262596954635492,0.19721951292910755,0.509755206798073,0.0624396351671601,0.177786500164126,0.300406476412609,0.0260633650434461,0.368375660814769
1700009N14Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010B08Rik,No_annotation,NA,NA,0.012282453601663698,0.01842368040249555,0,0,0,0.0736947216099822,0,0,0
1700010D01Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010G06Rik,No_annotation,NA,NA,0.049841159406900704,0.05518870376651318,0.03914607068767575,0.0433360082793572,0.0298586466041773,0.113356722113715,0.0342034380688032,0,0.0782921413753515
1700010H22Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010I02Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010I14Rik,No_annotation,NA,NA,0.8552047834477795,0.43039960552899326,1.704815139285352,0.628766881259702,0.043322236748065,0.444070369539503,0.605438934568703,0.0964450026304039,3.3131852759403
1700010J16Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010K23Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700010L04Rik,No_annotation,NA,NA,0.00989187513499405,0.010477603508180024,0.0087204183886221,0.0144806918108295,0,0,0.0274297222218906,0,0.0174408367772442
1700010N08Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700011B04Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700011C11Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700011L22Rik,No_annotation,NA,NA,0.004727714449654383,0.007091571674481575,0,0.0283662866979263,0,0,0,0,0
1700012A03Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700012B07Rik,No_annotation,NA,NA,0.03460494033572937,0.0212831514276373,0.0612485181519135,0,0,0.0851326057105492,0,0,0.122497036303827
1700012B09Rik,No_annotation,NA,NA,0.12656013873707034,0.07142111395904202,0.23683818829312697,0,0.137022392659746,0.0780297052340988,0.0706323579423233,0.114390951499207,0.359285425087047
1700012C14Rik,No_annotation,NA,NA,0.013127343633635718,0.019691015450453576,0,0,0,0,0.0787640618018143,0,0
1700012D01Rik,No_annotation,NA,NA,1.6023280835505966,1.6203291681843899,1.5663259142830102,2.1452259407813,1.56018230836389,1.44961228651808,1.32629613707429,1.3024932297683,1.83015859879772
1700012D16Rik,No_annotation,NA,NA,0.010768737733790668,0,0.032306213201372,0,0,0,0,0,0.064612426402744
1700012H19Rik,No_annotation,NA,NA,0.030790613075875498,0,0.0923718392276265,0,0,0,0,0,0.184743678455253
1700012I11Rik,No_annotation,NA,NA,0.019930114811825,0.0298951722177375,0,0.11958068887095,0,0,0,0,0
1700012J15Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700013D24Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700013G24Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700013H16Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700013N06Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700014L14Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700015C15Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700015I17Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700016A09Rik,No_annotation,NA,NA,0.02414349741205865,0.036215246118087976,0,0.0743978058304893,0,0,0.0704631786418626,0,0
1700016B01Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700016C19Rik,No_annotation,NA,NA,0.00702546382858005,0,0.02107639148574015,0,0,0,0,0,0.0421527829714803
1700016G22Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700016H13Rik,No_annotation,NA,NA,0.0320905391077714,0.033641189338785876,0.028989238645742453,0.0635195990475036,0,0.0443072559372899,0.02673790237035,0.0324770492838579,0.025501428007627
1700016J18Rik,No_annotation,NA,NA,0.0035741089002531835,0.005361163350379775,0,0,0,0.0214446534015191,0,0,0
1700016K05Rik,No_annotation,NA,NA,0.21457363434766585,0.2089279676683315,0.2258649677063346,0.161776478824111,0.148619339955167,0.42316890924482,0.102147142649228,0.0620362386711192,0.38969369674155
1700016L04Rik,No_annotation,NA,NA,0.011377686422794601,0.0170665296341919,0,0.0682661185367676,0,0,0,0,0
1700016L21Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700016P04Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
1700017B05Rik,No_annotation,NA,NA,7.023332352030913,6.790761532047934,7.4884739919968695,5.66363182120452,5.02102480458184,7.28644960381569,9.19193989858969,5.98372239377828,8.99322559021546
1700017G19Rik,No_annotation,NA,NA,0.004245057254917217,0.006367585882375825,0,0.0254703435295033,0,0,0,0,0
