Geneid,mouse_gene,ortholog_type,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06,Secretome location,Secretome function,Level,Reliability,Cell type
AAAS,Aaas,one-to-one,0.993873212857162,0.814717492296467,2.31521564176755,4.65244335077624,4.91336908985379,2.26430205260211,1.53131225118059,1.00270494914467,1.90653976877807,1.36567219913246,1.88965532253279,2.84434581545651,0.987772957377376,NA,NA,Medium,Approved,glandular cells
AAAS_1,NA,human-specific,0,0,0,0,0.0944878671125729,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AACS,Aacs,one-to-one,22.3000733717486,23.0415622872004,17.7427326275372,31.2311018196721,23.4008346891427,18.910776509471,16.1943098994587,19.960297552167,10.8324616079965,16.6480773919847,15.7954553491237,16.6623110174597,16.6640256676486,NA,NA,High,Approved,glandular cells
AACSP1,NA,human-specific,0.0491185808396392,0,0,0.108694251734949,0.12141272836058,0.0447619684190369,0.0385817350115254,0,0.0532569400589797,0.0461796933661001,0.0373557457905732,0.150199665076113,0.0679952433997448,NA,NA,NA,NA,NA
AADAC,Aadac,one-to-one,0.0887779852028027,0,0,0.098228170553817,0.109721995399437,0.202259374254285,0.348667310964681,0.0751206110126341,0,0,0,0,0.040965357774425,NA,NA,Not detected,Approved,glandular cells
AADACL2,Aadacl2,one-to-one,0.0274229230972294,0.0278319640225501,0.0255525472168325,0.21239415297022,0.0508385806746996,0.0749718739824778,0.150781385346426,0,0,0.0257821410591369,0.0625671829199819,0,0,Secreted in other tissues,Enzyme,NA,NA,NA
AADACL2-AS1,NA,human-specific,0,0,0.167481721395301,0.0994369369013057,0.222144402602746,0.0818993269324995,0,0.0760450226766497,0.259846037420756,0,0.546787470768753,0,0.0829389303127284,NA,NA,NA,NA,NA
AADACL2-AS1_1,NA,human-specific,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AADACL2_1,NA,human-specific,0,0.0437495302746516,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AADACL3,Aadacl3,one-to-one,0,0,0,0.0757241087919191,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AADACL4,AAdacl4fm3 | Aadacl4 | Aadacl4fm1 | Aadacl4fm4 | Aadacl4fm5,one-to-many (mouse-to-human),0.0569155007678346,0.0577644536317078,0.106067177126475,0.0944610114288039,0,0.0518673342017142,0,0,0,0,0,0,0.105051442496188,NA,NA,NA,NA,NA
AADACP1,NA,human-specific,0.43059733397046,0.655530199941522,0.200614257435489,0.357324974186849,0.798272205473948,1.12816481692278,0.676452452490671,0.27326652058824,0,0.202416809556606,0.409348261669392,0.109726934016038,0.0993465542302969,NA,NA,NA,NA,NA
AADAT,Aadat,one-to-one,0.761403341997899,0.796177434393003,0.494480453125203,0.408461937015274,1.71096254216149,0.462580036122904,0.253725909495482,0.449037386979246,0.41694616912376,0.802615970916464,0.157926477672984,0.587953184015102,0.809144150200931,NA,NA,Not detected,Enhanced,glandular cells
AAGAB,Aagab,one-to-one,7.80822972690269,9.07408105374378,6.18339445852458,7.18850461028443,13.9966241296266,9.46945722936949,7.47534926606829,6.72471449099354,5.84512201759387,9.28371190984231,5.09215405015328,8.16144347544518,8.70953772785725,NA,NA,Medium,Supported,glandular cells
AAK1,Aak1,one-to-one,4.26575491787445,3.93671030245048,2.83522176075464,3.86003286702399,7.91829313784052,4.52683434752896,2.89223983413727,4.64993032044812,2.90568287724123,4.70411978063774,3.32898217818816,3.66629266747401,3.77031910845828,NA,NA,Not detected,Enhanced,glandular cells
