transcript_id,gene_id,gene_name
ENSMUST00000086267,ENSMUSG00000026483,Niban1
ENSMUST00000111875,ENSMUSG00000026483,Niban1
ENSMUST00000134499,ENSMUSG00000026483,Niban1
ENSMUST00000183584,ENSMUSG00000098611,Mir6343
ENSMUST00000191156,ENSMUSG00000100534,Gm816
ENSMUST00000193479,ENSMUSG00000102904,Gm38265
ENSMUST00020182242,ENSMUSG00002076350,Gm54739
ENSMUST00000019843,ENSMUSG00000019699,Akt3
ENSMUST00000111159,ENSMUSG00000019699,Akt3
ENSMUST00000211158,ENSMUSG00000019699,Akt3
ENSMUST00000111160,ENSMUSG00000019699,Akt3
ENSMUST00000192402,ENSMUSG00000104391,Gm37960
ENSMUST00000193760,ENSMUSG00000102133,Gm37106
ENSMUST00000194506,ENSMUSG00000102749,Gm37598
ENSMUST00000194121,ENSMUSG00000103163,Gm38146
ENSMUST00000195379,ENSMUSG00000103646,Gm37706
ENSMUST00000193819,ENSMUSG00000102427,Gm37463
ENSMUST00000195002,ENSMUSG00000063659,Zbtb18
ENSMUST00000195549,ENSMUSG00000063659,Zbtb18
ENSMUST00000194319,ENSMUSG00000063659,Zbtb18
ENSMUST00000192699,ENSMUSG00000063659,Zbtb18
ENSMUST00000094276,ENSMUSG00000063659,Zbtb18
ENSMUST00000192851,ENSMUSG00000063659,Zbtb18
ENSMUST00000193480,ENSMUSG00000063659,Zbtb18
ENSMUST00000195388,ENSMUSG00000063659,Zbtb18
ENSMUST00000193440,ENSMUSG00000063659,Zbtb18
ENSMUST00000195612,ENSMUSG00000063659,Zbtb18
ENSMUST00000194269,ENSMUSG00000063659,Zbtb18
ENSMUST00000077225,ENSMUSG00000063659,Zbtb18
ENSMUST00000027215,ENSMUSG00000026049,Tex30
ENSMUST00000156392,ENSMUSG00000026049,Tex30
ENSMUST00000128190,ENSMUSG00000026049,Tex30
ENSMUST00000147571,ENSMUSG00000026049,Tex30
ENSMUST00000133677,ENSMUSG00000026049,Tex30
ENSMUST00000150911,ENSMUSG00000026049,Tex30
ENSMUST00000152239,ENSMUSG00000026049,Tex30
ENSMUST00000129702,ENSMUSG00000026049,Tex30
ENSMUST00000147661,ENSMUSG00000026049,Tex30
ENSMUST00000127923,ENSMUSG00000026049,Tex30
ENSMUST00000143327,ENSMUSG00000026049,Tex30
ENSMUST00000149502,ENSMUSG00000026049,Tex30
ENSMUST00000125540,ENSMUSG00000026049,Tex30
ENSMUST00000192759,ENSMUSG00000103767,Gm37858
ENSMUST00000188145,ENSMUSG00000043019,Edem3
ENSMUST00000059498,ENSMUSG00000043019,Edem3
ENSMUST00000187951,ENSMUSG00000043019,Edem3
ENSMUST00000191070,ENSMUSG00000043019,Edem3
ENSMUST00000148542,ENSMUSG00000101104,Gm29247
ENSMUST00000134195,ENSMUSG00000101104,Gm29247
ENSMUST00000016106,ENSMUSG00000015962,Spmip3
ENSMUST00000187603,ENSMUSG00000032666,1700025G04Rik
ENSMUST00000044581,ENSMUSG00000032666,1700025G04Rik
ENSMUST00000128433,ENSMUSG00000032666,1700025G04Rik
ENSMUST00000121533,ENSMUSG00000032666,1700025G04Rik
ENSMUST00000122608,ENSMUSG00000084557,Gm25279
ENSMUST00000187716,ENSMUSG00000100685,Gm28610
ENSMUST00000165944,ENSMUSG00000102090,Gm8964
ENSMUST00000194334,ENSMUSG00000103744,Gm38238
ENSMUST00000016105,ENSMUSG00000015961,Adss2
ENSMUST00000161808,ENSMUSG00000015961,Adss2
ENSMUST00000159184,ENSMUSG00000015961,Adss2
ENSMUST00000161442,ENSMUSG00000089657,Gm16585
ENSMUST00000194528,ENSMUSG00000102483,Catspere1
ENSMUST00000015124,ENSMUSG00000014980,Tsen15
ENSMUST00000161717,ENSMUSG00000014980,Tsen15
ENSMUST00000162371,ENSMUSG00000014980,Tsen15
ENSMUST00000159270,ENSMUSG00000014980,Tsen15
ENSMUST00000159717,ENSMUSG00000014980,Tsen15
ENSMUST00000163027,ENSMUSG00000014980,Tsen15
ENSMUST00000188105,ENSMUSG00000014980,Tsen15
ENSMUST00000188952,ENSMUSG00000026235,Epha4
ENSMUST00000188797,ENSMUSG00000026235,Epha4
ENSMUST00000187346,ENSMUSG00000026235,Epha4
ENSMUST00000190149,ENSMUSG00000026235,Epha4
ENSMUST00000189934,ENSMUSG00000026235,Epha4
ENSMUST00000186930,ENSMUSG00000026235,Epha4
ENSMUST00000027451,ENSMUSG00000026235,Epha4
ENSMUST00000184495,ENSMUSG00000099141,Mir6352
ENSMUST00000127586,ENSMUSG00000032649,Colgalt2
ENSMUST00000044311,ENSMUSG00000032649,Colgalt2
ENSMUST00000189147,ENSMUSG00000101849,Gm28386
ENSMUST00000185671,ENSMUSG00000101506,Gm28385
ENSMUST00000083281,ENSMUSG00000065215,Gm26263
ENSMUST00000065767,ENSMUSG00000026047,Poglut2
ENSMUST00000141125,ENSMUSG00000026047,Poglut2
ENSMUST00000027213,ENSMUSG00000026047,Poglut2
ENSMUST00000149665,ENSMUSG00000026047,Poglut2
ENSMUST00000152643,ENSMUSG00000026047,Poglut2
ENSMUST00000121610,ENSMUSG00000080878,Btf3-ps14
ENSMUST00000191719,ENSMUSG00000091476,Catspere2
ENSMUST00000094273,ENSMUSG00000091476,Catspere2
ENSMUST00000239149,ENSMUSG00000091476,Catspere2
ENSMUST00000192146,ENSMUSG00000091476,Catspere2
ENSMUST00000238506,ENSMUSG00000091476,Catspere2
ENSMUST00000239155,ENSMUSG00000091476,Catspere2
ENSMUST00000191673,ENSMUSG00000104097,Gm37313
ENSMUST00000240272,ENSMUSG00000119789,Gm25312
ENSMUST00000194128,ENSMUSG00000102493,Gm8010
ENSMUST00000155917,ENSMUSG00000041684,Bivm
ENSMUST00000138521,ENSMUSG00000041684,Bivm
ENSMUST00000035991,ENSMUSG00000041684,Bivm
ENSMUST00000186280,ENSMUSG00000041684,Bivm
ENSMUST00000114709,ENSMUSG00000041684,Bivm
ENSMUST00000129068,ENSMUSG00000041684,Bivm
ENSMUST00000188376,ENSMUSG00000026048,Ercc5
ENSMUST00000027214,ENSMUSG00000026048,Ercc5
ENSMUST00000131177,ENSMUSG00000026048,Ercc5
ENSMUST00000139510,ENSMUSG00000026048,Ercc5
ENSMUST00000145406,ENSMUSG00000026048,Ercc5
ENSMUST00000137380,ENSMUSG00000026048,Ercc5
ENSMUST00000155862,ENSMUSG00000026048,Ercc5
ENSMUST00000054801,ENSMUSG00000046828,Mettl21e
ENSMUST00000150062,ENSMUSG00000046828,Mettl21e
ENSMUST00000161563,ENSMUSG00000089703,Gm15833
ENSMUST00000191483,ENSMUSG00000100966,Gm5700
ENSMUST00000186385,ENSMUSG00000101567,Txn-ps1
ENSMUST00000170217,ENSMUSG00000026245,Farsb
ENSMUST00000068333,ENSMUSG00000026245,Farsb
ENSMUST00000189529,ENSMUSG00000026245,Farsb
ENSMUST00000188247,ENSMUSG00000026245,Farsb
ENSMUST00000189931,ENSMUSG00000026245,Farsb
ENSMUST00000190441,ENSMUSG00000026245,Farsb
ENSMUST00000191021,ENSMUSG00000026245,Farsb
ENSMUST00000195509,ENSMUSG00000104018,4833412K13Rik
ENSMUST00000170511,ENSMUSG00000090486,BC035947
ENSMUST00000190853,ENSMUSG00000090486,BC035947
ENSMUST00000111859,ENSMUSG00000026482,Rgl1
ENSMUST00000027760,ENSMUSG00000026482,Rgl1
ENSMUST00000111857,ENSMUSG00000026482,Rgl1
ENSMUST00000188395,ENSMUSG00000026482,Rgl1
ENSMUST00000128251,ENSMUSG00000026482,Rgl1
ENSMUST00000149536,ENSMUSG00000026482,Rgl1
ENSMUST00000139309,ENSMUSG00000086145,Gm15479
ENSMUST00000119836,ENSMUSG00000080950,Gm7278
ENSMUST00000191482,ENSMUSG00000099868,Gm28792
ENSMUST00000068875,ENSMUSG00000055547,Apobec4
ENSMUST00000113524,ENSMUSG00000012187,Mogat1
ENSMUST00000134947,ENSMUSG00000012187,Mogat1
ENSMUST00000149732,ENSMUSG00000012187,Mogat1
ENSMUST00000152111,ENSMUSG00000012187,Mogat1
ENSMUST00000125458,ENSMUSG00000012187,Mogat1
ENSMUST00000012331,ENSMUSG00000012187,Mogat1
ENSMUST00000077755,ENSMUSG00000008475,Arpc5
ENSMUST00000097536,ENSMUSG00000008475,Arpc5
ENSMUST00000143008,ENSMUSG00000008475,Arpc5
ENSMUST00000186132,ENSMUSG00000100562,Gm29611
ENSMUST00000074525,ENSMUSG00000056870,Gulp1
ENSMUST00000160854,ENSMUSG00000056870,Gulp1
ENSMUST00000159555,ENSMUSG00000056870,Gulp1
ENSMUST00000161793,ENSMUSG00000056870,Gulp1
ENSMUST00000161066,ENSMUSG00000056870,Gulp1
ENSMUST00000162600,ENSMUSG00000056870,Gulp1
ENSMUST00000194332,ENSMUSG00000102319,Gm37626
ENSMUST00000160955,ENSMUSG00000089877,Gm16102
ENSMUST00000186732,ENSMUSG00000101701,4930521E06Rik
ENSMUST00000194594,ENSMUSG00000103071,Gm38110
ENSMUST00000190083,ENSMUSG00000100434,Gm3489
ENSMUST00000185547,ENSMUSG00000100013,Gm19480
