species,sample,tissue,path
mouse,Mous-4B-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4B-PANC-Fem/quant.sf
mouse,Mous-4B-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4B-PAR-Fem-L/quant.sf
mouse,Mous-4B-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4B-SL-Fem-L/quant.sf
mouse,Mous-4B-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4B-SM-Fem-L/quant.sf
mouse,Mous-5A-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5A-LIV-Fem/quant.sf
mouse,Mous-5A-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5A-PANC-Fem/quant.sf
mouse,Mous-5A-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5A-PAR-Fem-L/quant.sf
mouse,Mous-5A-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5A-SL-Fem-L/quant.sf
mouse,Mous-5A-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5A-SM-Fem-L/quant.sf
mouse,Mous-5B-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5B-LIV-Fem/quant.sf
mouse,Mous-5B-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5B-PANC-Fem/quant.sf
mouse,Mous-5B-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5B-PAR-Fem-L/quant.sf
mouse,Mous-5B-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5B-SL-Fem-L/quant.sf
mouse,Mous-5B-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-5B-SM-Fem-L/quant.sf
mouse,Mous-6A-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6A-LIV-Fem/quant.sf
mouse,Mous-6A-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6A-PANC-Fem/quant.sf
mouse,Mous-6A-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6A-PAR-Fem-L/quant.sf
mouse,Mous-6A-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6A-SL-Fem-L/quant.sf
mouse,Mous-6A-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6A-SM-Fem-L/quant.sf
mouse,Mous-6B-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6B-LIV-Fem/quant.sf
mouse,Mous-6B-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6B-PANC-Fem/quant.sf
mouse,Mous-6B-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6B-PAR-Fem-L/quant.sf
mouse,Mous-6B-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6B-SL-Fem-L/quant.sf
mouse,Mous-6B-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-6B-SM-Fem-L/quant.sf
