"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","53/1262","432/16937",0.122685185185185,1.64652851147503,3.86236324865936,0.000224802247021394,0.0273001963666382,0.025065695263794,"Atp1a4/Grin1/B2m/Glrb/Casq2/Camk2d/Ank2/Gabrr2/Cnr1/Unc13b/Atp5if1/Pclo/Reln/Kcnk3/Nos1/Prkar1b/Tac1/Cftr/Ptn/Snca/Grip2/Cacna1c/Scn1b/Kcnc3/Kcne3/Insyn2a/Agt/Scn4b/Chrna3/Gclc/Kcnip1/Ngfr/Mapt/Kcnj2/Kcns3/Kcnf1/Slc26a3/Begain/Dcdc2a/Dbn1/Glrx/Adra1a/P2rx6/Clcn2/Popdc2/App/Tnf/Nrxn1/Adcyap1/Adrb2/Kcng2/Npas4/Kcnd1",53
"GO:0010712","regulation of collagen metabolic process","13/1262","57/16937",0.228070175438596,3.06087524675397,4.42215778970799,0.000227818050347467,0.0273001963666382,0.025065695263794,"Suco/Creb3l1/Cst3/Wnt4/Serpine1/Ccn2/Mfap4/Ccl2/Tgfb3/F2r/Itga2/Rapgef3/Mkx",13
"GO:0008543","fibroblast growth factor receptor signaling pathway","20/1262","113/16937",0.176991150442478,2.37535587562936,4.16218140127332,0.000238179079981087,0.0275109472167627,0.0252591963109975,"Creb3l1/Thbs1/Tyro3/Mertk/Lrit3/Musk/Epha8/Wnt4/Epha5/Epha1/Fgfr2/Ephb1/Ccn2/Enpp1/Ngfr/Wnt5a/Fgf9/Chrd/Nrxn1/Fgf1",20
"GO:0043270","positive regulation of monoatomic ion transport","32/1262","222/16937",0.144144144144144,1.93452406447652,3.97690403317113,0.000240508976264168,0.0275109472167627,0.0252591963109975,"Lrrc52/Akt3/Grin1/Lcn2/Capn3/Jph2/Ank2/Lrrc38/Reln/Nos1/Serpine1/Cftr/Snca/Cacna1c/Clec4b1/Cracr2a/Scn1b/Scn4b/Sgk1/Kcnmb1/Pirt/Kcnj2/Wnk2/F2r/Lgals3/Mchr1/Cntn1/Rapgef3/Mylk/Adrb2/Gsto1/G6pdx",32
"GO:0034765","regulation of monoatomic ion transmembrane transport","42/1262","321/16937",0.130841121495327,1.75598738095591,3.88003055729329,0.000253968365969025,0.0284049507982689,0.0260800263533104,"Lrrc52/Tgfb2/Grin1/Lcn2/Capn3/Kcnip3/Jph2/Mmp9/Casq2/Ngf/Camk2d/Ank2/Slc6a9/Lrrc38/Reln/Nos1/Cftr/Snca/Cacna1c/Clec4b1/Cracr2a/Atp4a/Hamp2/Scn1b/Kcne3/Tmem38a/Scn4b/Kcnip1/Kcnmb1/Pirt/Kcnab3/Itgb3/Rgs9/Kcnj16/Kcnj2/Wnk2/F2r/Rapgef3/Kcnj15/Adrb2/Gsto1/G6pdx",42
"GO:0031644","regulation of nervous system process","23/1262","141/16937",0.163120567375887,2.18920209956053,4.02340374516678,0.000295550427518756,0.0320508138353523,0.0294274781677134,"Grin1/Unc13b/Pclo/Reln/Smr2/Prkar1b/Tac1/Mgll/Grip2/Tenm4/Agt/Acp3/Egr2/Pirt/Ngfr/Begain/Dbn1/F2r/Itga2/App/Tnf/Nrxn1/Adrb2",23
"GO:0070167","regulation of biomineral tissue development","18/1262","98/16937",0.183673469387755,2.465037679097,4.12700513244554,0.000299302255168201,0.0320508138353523,0.0294274781677134,"Grem1/Bglap3/Bglap/Sgms2/Ccn1/Wnt4/Amtn/Cftr/Ptn/Alox5/Mgp/Comp/Tent5a/Enpp1/Phospho1/Notum/Aspn/Adrb2",18
"GO:0061098","positive regulation of protein tyrosine kinase activity","8/1262","25/16937",0.32,4.29464342313788,4.67748348358159,0.000318934208285444,0.0326363163560957,0.029965057735422,"Grem1/Fbxw7/Egf/Reln/Dok7/Nox4/Agt/Srcin1",8
"GO:0030595","leukocyte chemotaxis","29/1262","197/16937",0.147208121827411,1.97564497574553,3.90821568953217,0.00032268153910272,0.0326363163560957,0.029965057735422,"Fcer1g/Slamf9/Tgfb2/Tnfaip6/Grem1/Thbs1/Mmp9/Vav3/Csf3r/Padi2/Slit2/Pf4/Serpine1/Ptn/Alox5/C5ar1/Cxcl17/Dapk2/Cxcl16/Ccl2/Ccl7/Ccl8/Ripor2/Wnt5a/Lgals3/App/Vegfa/Vav1/Il17b",29
"GO:0030278","regulation of ossification","22/1262","133/16937",0.165413533834586,2.21997545368969,4.00776180365165,0.00032422328984796,0.0326363163560957,0.029965057735422,"Creb3l1/Grem1/Bglap3/Bglap/Sgms2/Ccn1/Wnt4/Tac1/Ptn/Alox5/Mgp/Comp/Tent5a/Enpp1/Egr2/Phospho1/Notum/Wnt5a/Cnmd/Kremen2/Mkx/Adrb2",22
