"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000023935","Spats1",45.0583372137874,-0.126907396104644,0.317269235154462,-0.399999060869735,0.689157208486751,0.923760156677351
"ENSMUSG00000027048","Abcb11",12747.4424762908,-0.116108527023397,0.290386728970341,-0.399841023848085,0.689273612841456,0.923760156677351
"ENSMUSG00000070490","Gm10293",4.72632687394442,0.381897230600554,0.95506512375714,0.399865120294839,0.689255863794893,0.923760156677351
"ENSMUSG00000075517","Cyp2d37-ps",236.012418729427,-0.102139151054271,0.255380841306175,-0.399948369391645,0.689194545194785,0.923760156677351
"ENSMUSG00000024330","Col11a2",33.9201489458145,0.175452333738107,0.439130780201382,0.399544604132842,0.689491964718935,0.923893002698777
"ENSMUSG00000050010","Shisa3",3.85903461987583,-0.295010670544064,0.738259465850698,-0.399602963714286,0.689448973211508,0.923893002698777
"ENSMUSG00000034271","Jdp2",21.9140050035188,0.130476097100999,0.326661793398881,0.399422582431233,0.689581857171757,0.923933571578446
"ENSMUSG00000113491","Gm19221",2.63248770207833,-0.319676640325541,0.800528364394939,-0.399332059354526,0.689648547659772,0.923943049069082
"ENSMUSG00000027428","Rbbp9",381.135467053708,0.0575438766526937,0.144171268269242,0.399135537499953,0.689793338247711,0.924057148946584
"ENSMUSG00000001517","Foxm1",7.25694751836996,-0.214185062086895,0.537084786798471,-0.398791899066141,0.690046546595553,0.924156704038877
"ENSMUSG00000033671","Cep350",401.005959793646,-0.0588606603319338,0.147556665208911,-0.398902077710952,0.689965358203734,0.924156704038877
"ENSMUSG00000042195","Slc35f2",3.95433258753094,-0.342602909603136,0.859100632870143,-0.398792523826394,0.690046086212432,0.924156704038877
"ENSMUSG00000025532","Crcp",436.912373436192,0.0496084811109862,0.12449148165655,0.398488960456323,0.690269794252642,0.924295945336741
"ENSMUSG00000033632","AW554918",46.1877364022324,-0.0961506499655674,0.241250896487042,-0.398550435938926,0.690224488314407,0.924295945336741
"ENSMUSG00000006522","Itih3",25916.0221245973,-0.0940291197400861,0.236026095010157,-0.39838442328184,0.690346838160641,0.92431924819124
"ENSMUSG00000003660","Snrnp200",1212.95272891306,0.0623984530542807,0.156667796854008,0.398285125005156,0.690420023971915,0.924337381782718
"ENSMUSG00000037253","Mex3c",277.187200587887,0.0630811145803084,0.158474169003953,0.398052975931584,0.690591136101967,0.924486605105664
