gene,log2FoldChange_strain_PAR,log2FoldChange_strain_SL,log2FoldChange_strain_SM,log2FoldChange_strain_LIV,log2FoldChange_strain_PANC,log2FoldChange_sex_PAR,log2FoldChange_sex_SL,log2FoldChange_sex_SM,log2FoldChange_sex_LIV,log2FoldChange_sex_PANC,padj_strain_PAR,padj_strain_SL,padj_strain_SM,padj_strain_LIV,padj_strain_PANC,padj_sex_PAR,padj_sex_SL,padj_sex_SM,padj_sex_LIV,padj_sex_PANC,baseMean_strain_PAR,baseMean_strain_SL,baseMean_strain_SM,baseMean_strain_LIV,baseMean_strain_PANC,baseMean_sex_PAR,baseMean_sex_SL,baseMean_sex_SM,baseMean_sex_LIV,baseMean_sex_PANC
Taco1,0.193965803129239,-0.229004415205306,-0.292642334822409,0.360984913879024,-0.435559237442692,-0.0690077047711471,0.148638783636763,0.0438835401029616,0.20531165030255,-0.213441924886062,0.999997843896355,0.0914738307543724,0.129173166654852,0.356606888329003,0.344415356766191,0.999978656998048,0.999703591649468,0.866868559363962,0.75596481731672,0.755466377028703,471.632460566089,573.396199492207,390.363079972581,961.377804092188,157.180289564179,471.632460566089,573.396199492207,390.363079972581,961.377804092188,157.180289564179
Map3k3,-0.325424045286362,-0.0431780768207572,-0.00767640567624726,-0.140665965380538,-0.427291355558748,0.00489012601861088,0.0822368124972865,0.0667883034801575,0.0567312367758403,-0.244891462777042,0.999997843896355,0.822115203685761,0.988589282450062,0.386558077805355,0.34627476442347,0.999978656998048,0.999703591649468,0.7594162518366,0.846742271575132,0.715586004123073,1441.33160523964,1392.88978354119,973.999787668786,807.730388294136,430.731530480651,1441.33160523964,1392.88978354119,973.999787668786,807.730388294136,430.731530480651
Limd2,0.183616918790982,0.13000998671643,0.325657291371075,0.0768594399621443,-1.33352416255927,-1.02354894143556,0.256537175812459,0.261233233563373,-0.589764518035,-0.558915222657555,0.999997843896355,0.616380004757003,0.403342959360416,0.783381200657041,0.101212194237185,0.999978656998048,0.999703591649468,0.40377229123449,0.00150911801768513,0.672977552709826,3694.13441359504,1193.71430772797,506.431407740426,745.316471891242,647.588013391403,3694.13441359504,1193.71430772797,506.431407740426,745.316471891242,647.588013391403
Gm10840,0.236981385241991,NA,NA,-0.678283312013339,-1.94565372062194,-0.865186464519909,NA,NA,-0.423186724384412,-1.82094253563155,0.999997843896355,NA,NA,0.698413511805896,NA,NA,NA,NA,NA,NA,11.8878375220378,NA,NA,2.39529155596274,1.55508704756768,11.8878375220378,NA,NA,2.39529155596274,1.55508704756768
Strada,0.430455886016331,0.16333321965198,0.138292674307592,0.0840177781071157,-0.0607788107739217,-0.481693404171028,0.0549047348034777,0.186703459154504,-0.226661018479398,-0.076451759139897,0.999997843896355,0.317181402990109,0.688310084674887,0.842793481245864,0.933908028194967,0.999978656998048,0.999703591649468,0.376268176442869,0.65199125281171,0.933549464438947,485.380141286744,582.489705928645,308.117050137039,142.48092776101,139.776115681941,485.380141286744,582.489705928645,308.117050137039,142.48092776101,139.776115681941
Ccdc47,-0.300935820974133,-0.180993932515491,-0.124447525063742,-0.0345551419906244,-0.334264752419505,0.307678625780894,0.0173964303831025,0.110648615188651,0.0166532559252045,0.0667405826963048,0.999997843896355,0.28940709459583,0.719044455086879,0.905202447718111,0.196916976698234,0.999978656998048,0.999703591649468,0.63144948552421,0.968979154655845,0.877693571307719,2477.68976992509,5902.39802515399,2915.11544700388,3801.83590049489,938.312197429847,2477.68976992509,5902.39802515399,2915.11544700388,3801.83590049489,938.312197429847
Ddx42,-0.0802633385991904,-0.0705090644126126,0.127646073077794,-0.160780318111498,-0.0433731901861849,0.00745005068524328,0.0163529794026419,0.256958792291921,-0.0345986846457765,-0.267958472387887,0.999997843896355,0.543965759958246,0.542311844674962,0.271883754608638,0.913181645497329,0.999978656998048,0.999703591649468,0.0329365541137098,0.908141520375713,0.556232293496023,1893.29081007154,3091.15311540883,1688.14406516836,1722.11354443723,717.50633854884,1893.29081007154,3091.15311540883,1688.14406516836,1722.11354443723,717.50633854884
Ftsj3,-0.476973537512998,-0.184185642618776,-0.155224570402042,-0.185062483460882,-0.325538755732873,0.298725217796201,0.229223658807225,0.00832165216773422,0.0668165669711208,-0.316946434162452,0.999997843896355,0.35949132290779,0.655457390483393,0.573813115660628,0.417853166502105,0.999978656998048,0.999703591649468,0.979715818879295,0.909219405206675,0.591943397136462,1432.84934248452,1787.81975039926,1126.18087257726,1712.28721924879,446.099238419018,1432.84934248452,1787.81975039926,1126.18087257726,1712.28721924879,446.099238419018
Psmc5,0.0819334249200759,-0.133362109750558,0.00146947430437157,0.416260883092222,-0.098780362084671,0.0113412276364412,0.0727703170210975,0.368336114970556,0.213314579286519,-0.0341847101818485,0.999997843896355,0.360749486390498,0.999556014553544,0.0253867413517649,0.81315199645822,0.999978656998048,0.999703591649468,0.296664546570556,0.501618920156662,0.953348056836696,2259.89737301068,2853.39025304612,2001.81341472353,3424.88610494504,891.245323484479,2259.89737301068,2853.39025304612,2001.81341472353,3424.88610494504,891.245323484479
Gm23645,-0.836550575866819,0.358753231964764,0.217377975723472,-1.14016539449744,-1.90823837909764,0.257828873609816,-0.427350839035425,0.181208793734051,-0.35347009989521,0.895736509985582,NA,0.778457597521387,0.94027442546101,0.457673951187557,NA,NA,0.999703591649468,0.907217924648463,0.903402576195429,NA,5.27018697448206,6.1309960385751,6.15401740394832,6.46765380722684,1.65794336180892,5.27018697448206,6.1309960385751,6.15401740394832,6.46765380722684,1.65794336180892
